id,name,suplente,area,party,image,term,source
h.d._absalon_herrera_garcia,ABSALON HERRERA GARCIA,"Morris Arias, Ubaldino",10-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491150915.7244.D-ABSALON_HERRERA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._adolfo_t._valderrama_rodriguez,ADOLFO T. VALDERRAMA RODRIGUEZ,"Tejada Pérez, Santiago Alexis",8-7,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491149927.9316.D-ADOLFO-VALDERRAMA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._aiban_jesus_velarde,AIBAN JESUS VELARDE,"Bolívar, Alex",10-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491149459.0408.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._alfredo_victor_perez_dia,ALFREDO VICTOR PEREZ DIA,"Ayola Thompson, Juan José",8-4,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151753.0953.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._ana_matilde_gomez_ruiloba,ANA MATILDE GOMEZ RUILOBA,"Spadafora Mejía, Alida",8-7,Independiente,http://www.asamblea.gob.pa/img/320x240_1491149428.8869.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._aristides_de_icaza_hidalgo,ARISTIDES DE ICAZA HIDALGO,"Starnes P. de De Icaza, Nubia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148620.7603.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._athenas_athanasiadis_rojas,ATHENAS ATHANASIADIS ROJAS,"Rojas Espinosa, Alejandro",4-5,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491147708.8291.D-ATHENAS_ATHANASIADES_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._ausencio_eusebio_palacio_pineda,AUSENCIO EUSEBIO PALACIO PINEDA,"Steel Beker de Jaén, Ceferina",12-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491152266.7082.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._benicio_e._robinson_g,BENICIO E. ROBINSON G,"Quintero Miranda, Mónica",1-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151107.979.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._carlos_agustin_afu_decerega,CARLOS AGUSTIN AFU DECEREGA,"Afu Brandao, Carlos Agustín",7-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491146251.0211.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._carlos_alberto_motta_nuques,CARLOS ALBERTO MOTTA NUQUES,"Cano González, Alexis",4-2,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151923.7276.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._carlos_eliceo_santana_aizprua,CARLOS ELICEO SANTANA AIZPRUA,"SANTANA, CARLOS A",9-1,Partido Panameñista,http://www.asamblea.gob.pa/img/320x240_1491150978.917.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._crescencia_prado_garcia,CRESCENCIA PRADO GARCIA,"Guerra Santos, Víctor",12-3,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491151560.4426.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._crispiano_adames_navarro,CRISPIANO ADAMES NAVARRO,"Ríos Herazo, Irving Ameth",8-7,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491146140.6548.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._dalia_m._bernal_y,DALIA M. BERNAL Y,"Moreno Olivares, Boris Edgardo",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491147903.0799.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._dana_d._castañeda_g.,DANA D. CASTAÑEDA G.,"Pino Chanis, Gregori",2-3,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148035.4393.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._diogenes_vergara,DIOGENES VERGARA,"Navarro De Gracia, Milciades Osvaldo",8-10,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491148849.437.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._edwin_alberto_zuñiga,EDWIN ALBERTO ZUÑIGA,"Gálvez Trujillo, Lucio",8-10,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148818.3814.D-EDWIN_ZUNIGA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._elias_ariel_castillo_gonzalez,ELIAS ARIEL CASTILLO GONZALEZ,"Dutary Maylín, Jorge Enrique",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491148112.1179.D_ELIAS_CASTILLO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._felipe_vargas_vargas,FELIPE VARGAS VARGAS,"Paz, Eduardo",5-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/img/320x240_1491149643.2999.jpg,2014,http://www.asamblea.gob.pa/diputados/
h.d._fernando_guillermo_carrillo_silvestri,FERNANDO GUILLERMO CARRILLO SILVESTRI,"Ringrose Wynter, Carlos Delano",8-8,Partido Cambio Democrático,http://www.asamblea.gob.pa/img/320x240_1491148009.3931.D-FERNANDO_CARRILLO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
