name,honorific_prefix,wikiname,party_id,party,term
Giovanni Battista Re,Cardinal,Giovanni Battista Re,_ind,n/a,2011
Jean-Louis Tauran,Cardinal,Jean-Louis Tauran,_ind,n/a,2011
Antonio Maria Vegliò,Cardinal,Antonio Maria Vegliò,_ind,n/a,2011
Attilio Nicora,Cardinal,Attilio Nicora,_ind,n/a,2011
Leonardo Sandri,Cardinal,Leonardo Sandri,_ind,n/a,2011
Domenico Calcagno,Cardinal,Domenico Calcagno,_ind,n/a,2011
Giuseppe Bertello,Cardinal,Giuseppe Bertello,_ind,n/a,2011
