id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
jadi_adamou,JADI ADAMOU,,,ARN,182,,Assemblée nationale,7.1,,,,male
janaidou_gado_sabo,JANAIDOU GADO SABO,,,ARN,182,,Assemblée nationale,7.1,,,,male
karimou_boureima,KARIMOU BOUREIMA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
lamido_moumouni_harouna,LAMIDO MOUMOUNI HAROUNA,,,ARN,182,,Assemblée nationale,7.1,,,,male
laoual_amadou_maizoumbou,LAOUAL AMADOU MAIZOUMBOU,,,ARN,182,,Assemblée nationale,7.1,,,,male
mahaman_el_had_souley,MAHAMAN EL HAD SOULEY,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
mahaman_laouali_gonda,MAHAMAN LAOUALI GONDA,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
mahaman_moustala_ali,MAHAMAN MOUSTALA ALI,,,ARN,182,,Assemblée nationale,7.1,,,,male
mahaman_salissou_oumarou,MAHAMAN SALISSOU OUMAROU,,,ARN,182,,Assemblée nationale,7.1,,,,male
mahaman_sani_amadou,MAHAMAN SANI AMADOU,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
mahamane_idrichi_,MAHAMANE IDRICHI ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
mahamane_sani_amadou,MAHAMANE SANI AMADOU,,,ARN,182,,Assemblée nationale,7.1,,,,male
maizama_gaya_,MAIZAMA GAYA ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
maman_nakori,MAMAN NAKORI,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
maman_waziri,MAMAN WAZIRI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
mamane_chouda,MAMANE CHOUDA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
mamane_rabiou_maina,MAMANE RABIOU MAINA,,,ARN,182,,Assemblée nationale,7.1,,,,male
mariama_manzo,MARIAMA MANZO,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,female
mariama_moussa ,MARIAMA MOUSSA ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
massaoudou_hamadou,MASSAOUDOU HAMADOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
mohamed_ben_omar,MOHAMED BEN OMAR,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
mohamed_cherif,MOHAMED CHERIF,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
mohamed_imbarek,MOHAMED IMBAREK,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
moussa_adamou,MOUSSA ADAMOU,,,ARN,182,,Assemblée nationale,7.1,,,,male
moussa_kallam_moumouni,MOUSSA KALLAM MOUMOUNI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
moussa_zangaou,MOUSSA ZANGAOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
moussabahou_moussa,MOUSSABAHOU MOUSSA,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
moustapha_mai_tanimoune,MOUSTAPHA MAI TANIMOUNE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
moutari_idi,MOUTARI IDI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
nana_mariama_elh_amadou,NANA MARIAMA ELH AMADOU,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,female
nassirou_amadou,NASSIROU AMADOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
nassirou_halidou,NASSIROU HALIDOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
nouhou_moussa,NOUHOU MOUSSA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
ould_rissa_ali_boubacar_,OULD RISSA ALI BOUBACAR ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
rabi_maman_kaila,RABI MAMAN KAILA,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,female
saadou_amadou,SAADOU AMADOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
saadou_dille,SAADOU DILLE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
sabiou_mamane,SABIOU MAMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
saidou_ama,SAIDOU AMA,,,ARN,182,,Assemblée nationale,7.1,,,,male
saidou_bakari,SAIDOU BAKARI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
sala_assane_amadou,SALA ASSANE AMADOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
saley_hassane,SALEY HASSANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
salma_hachimou,SALMA HACHIMOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
samaila_ali,SAMAILA ALI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
sampari_mindeba,SAMPARI MINDEBA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
sani_maigochi,SANI MAIGOCHI,,,ARN,182,,Assemblée nationale,7.1,,,,male
sani_ousmane_dit_dan_didje,SANI OUSMANE DIT DAN DIDJE,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,,male
sanoussi_moussa_mareini,SANOUSSI MOUSSA MAREINI,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
seini_saley,SEINI SALEY,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
soumaila_salou,SOUMAILA SALOU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
tanimoune_oumarou,TANIMOUNE OUMAROU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,male
tondy_younoussa,TONDY YOUNOUSSA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,,male
touhounout_hada,TOUHOUNOUT HADA,,,ARN,182,,Assemblée nationale,7.1,,,,male
yacine_ben_mohamed,YACINE BEN MOHAMED,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
yaou_mamane_,YAOU MAMANE ,,,ARN,182,,Assemblée nationale,7.1,,,,male
zakari_oumarou,ZAKARI OUMAROU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,,male
zara_elhadj_bako,ZARA ELHADJ BAKO,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,,female
