statement,id,name,start_date,end_date,wikidata
Q16621914-cf547c1e-43b2-32cb-1880-0606e2d0e191,1,1st Legislative Assembly of Ecuador,2009-07-31,2013-05-14,Q16621914
Q16629825-36b6c7dd-46b1-d8d7-7d36-bfc93299f059,2,2nd Legislative Assembly of Ecuador,2013-05-14,2017-05-11,Q16629825
Q30911706-5e224972-4965-f235-b95a-5287feb5f1e3,3,3rd Legislative Assembly of Ecuador,2017-05-14,"",Q30911706
