id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
adam-bielan,Adam Bielan,,AdamBielan,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo małopolskie 12,Sejm,4,,2004-06-16,https://upload.wikimedia.org/wikipedia/commons/9/9e/Adam_Bielan_3.JPG,male
adam-lipiński,Adam Lipiński,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,Województwo dolnośląskie 1,Sejm,4,,,,male
adam-markiewicz-(polityk),Adam Markiewicz,,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej[m],klub_parlamentarny_sojuszu_lewicy_demokratycznej[m],Województwo dolnośląskie 2,Sejm,4,,,,male
adam-ołdakowski,Adam Ołdakowski,,,Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej,klub_parlamentarny_samoobrona_rzeczypospolitej_polskiej,Województwo warmińsko-mazurskie 34,Sejm,4,,,,male
adam-sosnowski,Adam Sosnowski,,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej[m],klub_parlamentarny_sojuszu_lewicy_demokratycznej[m],Województwo świętokrzyskie 33,Sejm,4,,,,male
adam-szejnfeld,Adam Szejnfeld,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo wielkopolskie 38,Sejm,4,,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Adam_Szejnfeld_(cropped).jpg,male
adam-woś,Adam Woś,,,Koło Poselskie Stronnictwa Gospodarczego,koło_poselskie_stronnictwa_gospodarczego,Województwo podkarpackie 22,Sejm,4,,,,male
agnieszka-pasternak,Agnieszka Pasternak,,,Klub Parlamentarny Socjaldemokracji Polskiej,klub_parlamentarny_socjaldemokracji_polskiej,Województwo śląskie 32,Sejm,4,,,,female
aldona-michalak,Aldona Michalak,,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej[m],klub_parlamentarny_sojuszu_lewicy_demokratycznej[m],Województwo mazowieckie 16,Sejm,4,,,,female
aleksander-czuż,Aleksander Czuż,,,Klub Parlamentarny Sojuszu Lewicy Demokratycznej[m],klub_parlamentarny_sojuszu_lewicy_demokratycznej[m],Województwo podlaskie 24,Sejm,4,,,,male
aleksander-grad,Aleksander Grad,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,Województwo małopolskie 15,Sejm,4,,,https://upload.wikimedia.org/wikipedia/commons/9/90/Aleksander_Grad_2010.jpg,male
aleksander-małachowski,Aleksander Małachowski,,,Koło Poselskie Biało-Czerwoni,koło_poselskie_biało-czerwoni,Województwo mazowieckie 19,Sejm,4,,2004-01-26,,male
