name,party,constituency,term,source,image,id
Alatoi Ishmael Kalsakau,UMP,Port Vila,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Albert Abel Wialliams,GJP,Ambrym,11,https://parliament.gov.vu/index.php/members/189-honalbertabelwialliams,https://parliament.gov.vu/images/bio/Albert_William.jpg,189
Alfred Maoh,GJP,Santo Rural,11,https://parliament.gov.vu/index.php/members/101-hon-alfred-maoh,https://parliament.gov.vu/images/bio/Alfred_Maoh.jpg,101
Alickson Vira,Natatok,Ambae,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Andrew Solomon Napuat,GJP,Tanna,11,https://parliament.gov.vu/index.php/members/194-honandrewnapuat,https://parliament.gov.vu/images/bio/Andrew_Napuat.jpg,194
Bob Loughman,VP,Tanna,11,https://parliament.gov.vu/index.php/members/76-hon-bob-loughman,https://parliament.gov.vu/images/bio/Bob_Loughman.jpg,76
Charlot Salwai,RMC,Pentecost,11,https://parliament.gov.vu/index.php/members/115-hon-charlot-salwai,https://parliament.gov.vu/images/bio/salwai.jpg,115
Claude Christophe Antonie Emelee,VNDP,Torres,11,https://parliament.gov.vu/index.php/members/187-honclaudechristopheantonieemelee,https://parliament.gov.vu/images/bio/no_image.jpg,187
Edwin Amblus Macreveth,FMP,Santo Rural,11,https://parliament.gov.vu/index.php/members/177-honedwiamblusmacreveth,https://parliament.gov.vu/images/bio/Edwin_Malcreveth.jpg,177
Ephraim Kalsakau,U-Bloc,Port Vila,11,https://parliament.gov.vu/index.php/members/193-honephraimkalsakau,https://parliament.gov.vu/images/bio/Ephraim_Kalsakau.jpg,193
Esmon Saimon,VP,Malekula,11,https://parliament.gov.vu/index.php/members/83-hon-esmon-saimon,https://parliament.gov.vu/images/bio/Esmon_sai.jpg,83
Francois Chani Tabisal,NUP,Pentecost,11,https://parliament.gov.vu/index.php/members/190-honfrancoischani-abisal,https://parliament.gov.vu/images/bio/Francois.jpg,190
Fred William Tasso,GJP,Paama,11,https://parliament.gov.vu/index.php/members/191-honfredwilliamtasso,https://parliament.gov.vu/images/bio/Fred_Tasso.jpg,191
Gaetan Pikinoune,NAG,Santo Rural,11,https://parliament.gov.vu/index.php/members/183-hongaetanpikinoune,https://parliament.gov.vu/images/bio/Gaetan_Pikinoune.jpg,183
Gillion William,GJP,Efate,11,https://parliament.gov.vu/index.php/members/174-hongillionwilliam,https://parliament.gov.vu/images/bio/no_image.jpg,174
Gracia Shadrack,VLP,Malekula,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Ham Lini Vanuaroroa,NUP,Pentecost,11,https://parliament.gov.vu/index.php/members/85-hon-ham-lini,https://parliament.gov.vu/images/bio/Ham_Lini.jpg,85
Hosea Ovock Rothul Nevu,PPP,Santo Rural,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Ian Wilson Toakalana,VLP,Maewo,11,https://parliament.gov.vu/index.php/members/200-honianwilson,https://parliament.gov.vu/images/bio/Ian_wilson.jpg,200
Isaac Daniel Tongolilu,IND,Epi,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Jack Wona,VNDP,Banks,11,https://parliament.gov.vu/index.php/members/182-honjackwona,https://parliament.gov.vu/images/bio/no_image.jpg,182
Jacob Matanagwele,Ambae,Ambae,11,https://parliament.gov.vu/index.php/members/192-honjacobmatanagwele,https://parliament.gov.vu/images/bio/Jacob_Mata.jpg,192
Jay Ngwele,UMP,Ambae,11,https://parliament.gov.vu/index.php/members/178-honjayngwele,https://parliament.gov.vu/images/bio/Jay_Ngwele.jpg,178
Jean Pierre Nirua,IND,Port Vila,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Jerome Ludvaune,UMP,Malekula,11,https://parliament.gov.vu/index.php/members/90-hon-jerome-ludvaune,https://parliament.gov.vu/images/bio/Jerome.jpg,90
Jerry Kanas,VLP,Efate,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Joe Natuman,VP,Tanna,11,https://parliament.gov.vu/index.php/members/92-hon-joe-natuman,https://parliament.gov.vu/images/bio/Joe_Natuman.jpg,92
Johhny Koanapo Rasou,VP,Tanna,11,https://parliament.gov.vu/index.php/members/188-honjohhnykoanaporasou,https://parliament.gov.vu/images/bio/Johny_Konapo.jpg,188
Joshua Tafura Kalsakau,LP,Efate,11,https://parliament.gov.vu/index.php/members/181-honjoshuakalsakau,https://parliament.gov.vu/images/bio/Joshua_Kalsakau.jpg,181
Jotham Napat,VLP,Tanna,11,https://parliament.gov.vu/index.php/members/201-honjothamnapat,https://parliament.gov.vu/images/bio/Jotham_Napat.jpg,201
Kalo Pakoa Songi Lano,UMP,Tongoa,11,https://parliament.gov.vu/index.php/members/186-honkalopakoasongilano,https://parliament.gov.vu/images/bio/no_image.jpg,186
Kalo Seule,VGC,Port Vila,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Kenneth Natapei,VP,Port Vila,11,https://parliament.gov.vu/index.php/members/198-honkennethnatapei,https://parliament.gov.vu/images/bio/Keneth_Natapei.jpg,198
Lenkon Tao Bruno,NUP,Ambrym,11,https://parliament.gov.vu/index.php/members/78-hon-leignkone-tao-bruno,https://parliament.gov.vu/images/bio/bruno.jpg,78
Marc Ati,PPP,Luganville,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Marcellino Barthelemy,RMC,Malekula,11,https://parliament.gov.vu/index.php/members/196-honmarcellinobarthelemy,https://parliament.gov.vu/images/bio/Marcellino_Barthelemy.jpg,196
Matai Seremaiah,VLP,Luganville,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Meltek Sato Kilman Livtunvanu,PPP,Malekula,11,https://parliament.gov.vu/index.php/members/117-hon-meltek-sato-kilman-livtunvanu,https://parliament.gov.vu/images/bio/sato.jpg,117
Nakou Natuman,UMP,Tanna,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Norris Kalmet,UMP,Efate Rural,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Ps Don Ken Stephen,PSP,Malekula,11,https://parliament.gov.vu/index.php/members/81-hon-ps-ton-ken,https://parliament.gov.vu/images/bio/don.jpg,81
Ralph Regenvanu,GJP,Port Vila,11,https://parliament.gov.vu/index.php/members/111-hon-ralph-regenvanu,https://parliament.gov.vu/images/bio/ralph.jpg,111
Rick Mahe Tchamako,RMC,Santo Rural,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Ronald Warsal Kalmasei,VP,Santo,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Sala John,GJP,Malekula,11,https://parliament.gov.vu/index.php/members/180-honsalajohn,https://parliament.gov.vu/images/bio/John_Sala.jpg,180
Samson Samsen,PPP,Santo Rural,11,https://parliament.gov.vu/index.php/members/168-honsamsonsamsen,https://parliament.gov.vu/images/bio/Samson_Samsen.jpg,168
Seoule Simeon,UMP,Epi,11,https://parliament.gov.vu/index.php/members/185-honseoulesimeon,https://parliament.gov.vu/images/bio/Seoule_Simeon.jpg,185
Silas Bule Melve,NUP,Pentecost,11,https://parliament.gov.vu/index.php/members/199-honsilasbulemelve,https://parliament.gov.vu/images/bio/Silas_Bule.jpg,199
Toara Kalo Daniel,GC,Shepherds Island,11,https://parliament.gov.vu/index.php/members/128-hon-toara-daniel,https://parliament.gov.vu/images/bio/toara.jpg,128
Tom Noam Iouniwan,UMP,Tanna,11,https://parliament.gov.vu/index.php/members/184-hontomnoamiouniwan,https://parliament.gov.vu/images/bio/Tom_Noam.jpg,184
Tomker Netvunei Naling,UMP,Tafea Outer Islands,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
Uri Warawara,GJP,Malo/Aore,11,https://parliament.gov.vu/index.php/memebers/members-of-11th-legislatture,,
