name,party,wikiname,term,type,source
Moustapha Diakhate,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Penda Seck Dieng,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Doudou Issa Niasse,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ndéye Fatou Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Papa Diallo dit Zator Mbaye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ndeye Maguette Dieye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Alioune Badara Diouf,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Awa Sow,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Seydina Fall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ibrahima Lo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Awa Niang,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Idrissa Diallo,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssatou Sabara,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Samba C. Diaman Bathily,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Salimata Korera,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Souleymane Ndoye,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ouleye Diaou,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Papa Abdou Khadir Mbodji,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Madjiguene Fall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Maguette Tall,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Seck,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
El Hadji Falilou Mbacké,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mame Khary Mbacké,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Omar DIAKHATE,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Amy Cheikh Diop,Benno Bok Yaakaar,"",2012,Au scrutin majoritaire départemental,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
