id,position,label,description,start_date,term,end_date,replaces,replaced_by,of,constituency
Q1189178,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q131674,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q133318,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1361037,Q24930613,Governor of Ulyanovsk Oblast,"",2001-01-06,,2004-11,,,,
Q1377159,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,1994-01-11,,2018-06-14,,,,
Q15063908,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15064315,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15065685,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15067001,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15067417,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15068078,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15068090,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15070870,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15071405,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15071668,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15072844,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15074132,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15074673,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15079062,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15079217,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q1517429,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15206940,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q152318,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15702796,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15702796,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q15714548,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q15963668,Q3368517,public prosecutor general,"","",,,,,,
Q16629325,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q16637835,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q16643001,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q16654510,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q16661684,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,2016-09-18,7th State Duma of the Russian Federation,,,,,
Q16680789,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
