id,name,image,source,faction,area,birth_date,start_date,end_date,area_id,term
1756574,Чепа Алексей Васильевич,http://www.duma.gov.ru/upload/iblock/439/439300b9bd66c40f8291f9fa7bfd92cc.jpg,http://www.duma.gov.ru/structure/deputies/1756574/,«СПРАВЕДЛИВАЯРОССИЯ»,Вологодская областьНовгородская областьТверская область,1955-11-22,2016-09-18,,,7
1756575,Чайка Валентин Васильевич,http://www.duma.gov.ru/upload/iblock/79e/79e9b45d5f485163ad95e8ec2771437b.jpg,http://www.duma.gov.ru/structure/deputies/1756575/,«ЕДИНАЯРОССИЯ»,Республика Татарстан (Татарстан),1953-07-02,2016-09-18,,,7
1756576,Хор Глеб Яковлевич,http://www.duma.gov.ru/upload/iblock/3ca/3cafa70c6b537a16e6641bc85753c3de.jpg,http://www.duma.gov.ru/structure/deputies/1756576/,«ЕДИНАЯРОССИЯ»,Волгоградская областьПензенская областьСаратовская областьТамбовская область,1963-04-08,2016-09-18,,,7
1756577,Хованская Галина Петровна,http://www.duma.gov.ru/upload/iblock/62b/62b18e8a3abfcaa612281222732a61af.jpg,http://www.duma.gov.ru/structure/deputies/1756577/,«СПРАВЕДЛИВАЯРОССИЯ»,г.Москва,1943-08-23,2016-09-18,,0198,7
1756578,Харитонов Николай Михайлович,http://www.duma.gov.ru/upload/iblock/5e7/5e73e2f4086df00d9d938f62003af47e.jpg,http://www.duma.gov.ru/structure/deputies/1756578/,КПР,Краснодарский край,1948-10-30,2016-09-18,,0052,7
1756579,Хайруллин Айрат Назипович,http://www.duma.gov.ru/upload/iblock/b43/b43964c07971a1849b54e2616f80b029.jpg,http://www.duma.gov.ru/structure/deputies/1756579/,«ЕДИНАЯРОССИЯ»,Республика Татарстан (Татарстан),1970-08-01,2016-09-18,,0028,7
1756580,Хайров Ринат Шамильевич,http://www.duma.gov.ru/upload/iblock/959/95918ebb316eb2522c7a9961f1c924f1.jpg,http://www.duma.gov.ru/structure/deputies/1756580/,«ЕДИНАЯРОССИЯ»,Республика Татарстан (Татарстан),1964-06-22,2016-09-18,,0030,7
1756581,Фокин Александр Иванович,http://www.duma.gov.ru/upload/iblock/f5f/f5fb9e33670ceb67a48dfe852c2b8014.jpg,http://www.duma.gov.ru/structure/deputies/1756581/,«ЕДИНАЯРОССИЯ»,Республика АлтайАлтайский крайКемеровская областьТомская область,1954-10-24,2016-09-18,,,7
1756582,Федяев Павел Михайлович,http://www.duma.gov.ru/upload/iblock/cf5/cf5e15ffb1c58838339a5509bc4ac9c4.jpg,http://www.duma.gov.ru/structure/deputies/1756582/,«ЕДИНАЯРОССИЯ»,Кемеровская область,1982-07-31,2016-09-18,,0103,7
1756583,Федоров Евгений Алексеевич,http://www.duma.gov.ru/upload/iblock/742/7424c07fa8dc238048fade89ba00d298.jpg,http://www.duma.gov.ru/structure/deputies/1756583/,«ЕДИНАЯРОССИЯ»,Вологодская областьКалининградская областьНовгородская областьПсковская область,1963-05-11,2016-09-18,,,7
1756584,Умаханов Умахан Магомедгаджиевич,http://www.duma.gov.ru/upload/iblock/78c/78c8fa4df11df2b97052f83fd1c6bf06.jpg,http://www.duma.gov.ru/structure/deputies/1756584/,«ЕДИНАЯРОССИЯ»,Республика Дагестан,1965-05-25,2016-09-18,,0010,7
1756585,Туров Артём Викторович,http://www.duma.gov.ru/upload/iblock/7b8/7b8edd5c19e437f85eab30ab385c7514.jpg,http://www.duma.gov.ru/structure/deputies/1756585/,«ЕДИНАЯРОССИЯ»,Брянская областьКалужская областьСмоленская областьТульская область,1984-03-01,2016-09-18,,,7
