id,type,start_date,name__de,name__en,name__nl,name__gd,name__fr,end_date,name__it,name__sv,name__ru,name__ja,name__en_gb,name__cy,name__es,replaces,replaced_by,name__zh,name__zh_hant,name__zh_cn,name__de_ch,name__en_ca
Q1394345,region or constituency of the Scottish Parliament,1999,"Falkirk East (Wahlkreis, Schottland)",Falkirk East,Falkirk East,An Eaglais Bhreac an Ear,,,,,,,,,,,,,,,,
Q1394351,region or constituency of the Scottish Parliament,1999,"Falkirk West (Wahlkreis, Schottland)",Falkirk West,Falkirk West,An Eaglais Bhreac an Iar,,,,,,,,,,,,福爾柯克西 (蘇格蘭議會選區),,,,
Q1396337,region or constituency of the Scottish Parliament,,Inverness and Nairn,Inverness and Nairn,Inverness and Nairn,Inbhir Nis is Inbhir Narann,,,,,,,,,,,,,,,,
Q1422051,region or constituency of the Scottish Parliament,1999,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,West Aberdeenshire and Kincardine,Siorrachd Obar Dheathain an Iar agus Ceann Chàrdainn,,2011,,,,,,,,,,,,,,
Q1458360,region or constituency of the Scottish Parliament,1999,Glasgow Cathcart,Glasgow Cathcart,Glasgow Cathcart,Glaschu Cathcart,,,,,,,,,,,,,,,,
Q1492557,region or constituency of the Scottish Parliament,1999,"Galloway and Upper Nithsdale (Wahlkreis, Schottland)",Galloway and Upper Nithsdale,Galloway and Upper Nithsdale,Gall-Ghaidhealaibh agus Bràigh Nid,,2011,,,,,,,,,,,,,,
Q1492567,region or constituency of the Scottish Parliament,,Galloway and West Dumfries,Galloway and West Dumfries,Galloway and West Dumfries,Gall-Ghàidhealaibh agus Dùn Phris an Iar,,,,,,,,,,,,,,,,
Q1512696,region or constituency of the Scottish Parliament,2011,Perthshire South and Kinross-shire,Perthshire South and Kinross-shire,Perthshire South and Kinross-shire,,,,,,,,,,,,,,,,,
Q1529479,region or constituency of the Scottish Parliament,1999,Glasgow (Wahlregion),Glasgow,,Glaschu,Glasgow,,,,,,,,,,,格拉斯哥 (蘇格蘭議會地區),,,,
Q1529483,region or constituency of the Scottish Parliament,1999,"Glasgow Anniesland (Wahlkreis, Schottland)",Glasgow Anniesland,Glasgow Anniesland,Glaschu Fearann Anna,,,,,,,,,,,,,,,,
Q1529489,region or constituency of the Scottish Parliament,1999,"Glasgow Baillieston (Wahlkreis, Schottland)",Glasgow Baillieston,Glasgow Baillieston,,,2011,,,,,,,,,,,,,,
Q1529502,region or constituency of the Scottish Parliament,1999,"Glasgow Govan (Wahlkreis, Schottland)",Glasgow Govan,Glasgow Govan,Glaschu - Baile a' Ghobhainn,,2011,,,,,,,,,,,格拉斯哥加文 (蘇格蘭議會選區),,,
Q1529510,region or constituency of the Scottish Parliament,1999,"Glasgow Kelvin (Wahlkreis, Schottland)",Glasgow Kelvin,Glasgow Kelvin,Glaschu Ceilbhinn (Sgìre Phàrlamaid na h-Alba),,,,,,,,,,,,,,,,
Q1529515,region or constituency of the Scottish Parliament,,Glasgow Maryhill and Springburn,Glasgow Maryhill and Springburn,Glasgow Maryhill and Springburn,Glaschu Cnoc Màiri agus Allt an Fhuarain,,,,,,,,,,,,,,,,
Q1529523,region or constituency of the Scottish Parliament,1999,"Glasgow Pollok (Wahlkreis, Schottland)",Glasgow Pollok,Glasgow Pollok,Glaschu Pollaig,,,,,,,,,,,,格拉斯哥波洛克 (蘇格蘭議會選區),,,,
Q1529525,region or constituency of the Scottish Parliament,,Glasgow Provan,Glasgow Provan,Glasgow Provan,Glaschu Provan,,,,,,,,,,,,,,,,
Q1529529,region or constituency of the Scottish Parliament,1999,"Glasgow Rutherglen (Wahlkreis, Schottland)",Glasgow Rutherglen,Glasgow Rutherglen,"An Ruadh-ghleann, Glaschu",,2011,,,,,,,,,,,,,,
Q1529535,region or constituency of the Scottish Parliament,1999,"Glasgow Shettleston (Wahlkreis, Schottland)",Glasgow Shettleston,Glasgow Shettleston,Glaschu Baile Nighean Sheadna,,,,,,,,,,,,,,,,
Q1529542,region or constituency of the Scottish Parliament,1999,"Glasgow Springburn (Wahlkreis, Schottland)",Glasgow Springburn,Glasgow Springburn,,,2011,,,,,,,,,,,,,,
Q1535300,region or constituency of the Scottish Parliament,1999,Paisley South,Paisley South,Paisley South,,,2011,,,,,,,,,,,,,,
Q1537951,region or constituency of the Scottish Parliament,1999,"Gordon (Wahlkreis, Schottland)",Gordon,Gordon,Gòrdan,,2011,,,,,,,,,,戈登 (蘇格蘭議會選區),,,,
Q1544755,region or constituency of the Scottish Parliament,1999,"Greenock and Inverclyde (Wahlkreis, Schottland)",Greenock and Inverclyde,Greenock and Inverclyde,Grianaig agus Inbhir Chluaidh,,,,,,,,,,,,,,,,
Q1549306,region or constituency of the Scottish Parliament,1999,Highlands and Islands,Highlands and Islands,Highlands and Islands,A' Ghàidhealtachd agus na h-Eileanan,Highlands et les Îles,,,,,ハイランド・アンド・アイランズ選挙区,,,,,,,,,,
Q1569402,region or constituency of the Scottish Parliament,1999,Linlithgow,Linlithgow,,,,,,,,,,,,,,林利斯戈 (蘇格蘭議會選區),,,,
Q1573419,region or constituency of the Scottish Parliament,,"Hamilton, Larkhall and Stonehouse","Hamilton, Larkhall and Stonehouse","Hamilton, Larkhall and Stonehouse","Hamilton, Taigh na h-Uiseig agus an Taigh Cloiche",,,,,,,,,,,,,,,,
Q1573509,region or constituency of the Scottish Parliament,1999,"Hamilton North and Bellshill (Wahlkreis, Schottland)",Hamilton North and Bellshill,Hamilton North and Bellshill,,,2011,,,,,,,,,,,,,,
Q1573521,region or constituency of the Scottish Parliament,1999,"Hamilton South (Wahlkreis, Schottland)",Hamilton South,Hamilton South,,,2011,,,,,,,,,,,,,,
Q1589906,region or constituency of the Scottish Parliament,,Almond Valley,Almond Valley,Almond Valley,Srath Amain,Almond Valley,,,,,,,,,,,,,,,
Q1623093,region or constituency of the Scottish Parliament,,Uddingston and Bellshill,Uddingston and Bellshill,,Uddingston agus Bellshill,,,,,,,,,,,,,,,,
Q1647853,region or constituency of the Scottish Parliament,1999,North East Scotland,North East Scotland,North East Scotland,Ear-thuath na h-Alba,Écosse du nord-est,,,,,,,,,,,東北蘇格蘭 (蘇格蘭議會地區),,,,
Q1671714,region or constituency of the Scottish Parliament,1999,"Inverness East, Nairn and Lochaber (Wahlkreis, Schottland)","Inverness East, Nairn and Lochaber","Inverness East, Nairn and Lochaber","Inbhir Nis an Ear, Inbhir Narann agus Loch Abar",,2011,,,,,,,,,,,,,,
Q1719129,region or constituency of the Scottish Parliament,1999,Dumbarton,Dumbarton,Dumbarton,,,,,,,ダンバートン,,,,,,敦巴頓 (蘇格蘭議會選區),,,,
