id,twitter
14734993,alasdairallan
17736588,JoanMcAlpine
19773755,GillianMSP
19934731,kezdugdale
20544923,billabowman
21096678,tavishscott
21125405,patrickharvie
22151425,fincarson
24069453,HumzaYousaf
30645512,olivermundell
33911222,agcolehamilton
38841497,GeorgeAdam
42281893,alexjohnstone61
45852412,NeilBibby
49971708,ClaireBakerMSP
50308678,Ross_Greer
52002602,willie_rennie
65471427,BenMacpherson
74253401,BrianWhittle
82191285,markruskell
98969650,GMacdonaldMSP
100491202,Pauline_McNeill
116855481,DAJCameron
117048158,claudiabeamish
119388872,ShonaRobison
125054097,JohnFinnieHI
130133607,John2Win
136187446,DJohnsonMSP
139511926,glasgowcathcart
155954174,JamesKellyLab
157958467,AlisonJohnstone
159061464,ClydesdAileen
160952087,NicolaSturgeon
168175477,DerekMackaySNP
168852799,JennyMarra
186469395,Angus4FalkirkE
190328594,JeaneF1MSP
194364678,andywightman
201226827,AnasSarwar
207471475,Feorlean
211994193,RuthDavidsonMSP
212330803,LindaFabianiSNP
214544073,KeithBrownSNP
219716235,S_A_Somerville
222098610,zsstevens
235939124,BobDorisSNP
236787450,JohnSwinney
237202171,RHBruceCrawford
239894176,strathearnrose
240182448,FionaHyslop
242772056,StuMcMillanSNP
243628984,RichardLochhead
247253560,KenMacintoshMSP
248595884,JohnMasonMSP
253168363,uartlach
254218465,ThomasCArthur
257023773,ChristinaSNP
261273448,SandraWhiteSNP
266712518,GailRossSNP
266737785,jamiehepburn
274087878,hotelierswife
279487795,RichardlyleSnp
282586468,AlexNeilSNP
294605831,RBFMaguire
296858042,MonicaLennon7
306158818,MaryFeeMSP
361120451,ColinSmythMSP
365037094,murdo_fraser
366057802,Carlaw4Eastwood
374460050,JoeFitzSNP
379788956,RhodaGrant
383969490,JohannLamont
385883466,ClareAdamsonSNP
394005819,PaulWheelhouse
395920835,MathesonMichael
400102541,MarkGriff1n
408648865,markmcdindy
416493637,MairiGougeon
483678051,liamkerrMSP
500951026,AConstanceSNP
539849453,RossThomson_MP
571079059,jackiebmsp
585020518,Alex_RowleyMSP
593840966,GrahamSMSP
611149024,AnnieWellsMSP
718085712,FergusEwingMSP
736701542,haughey_clare
738816230,ashtenRD
910755049,KevinStewartSNP
927392084,Davidstewartmsp
1088726953,NeilFindlay_MSP
1165650786,MspLiz
1226204215,ProfTomkins
1389170233,IainGrayMSP
2198180998,MBallantyneMSP
2316946782,Ivan_McKee
2350894955,maureenSNP
2387790774,AJABurnett
2438848032,williecoffeysnp
2508160276,LewisMacdMSP
2799910539,DavidHTorrance
2817853242,MareeToddMSP
2819139989,1edmountain
2841826715,jamiegreeneUK
2890801661,Douglas4Moray
2900791232,EmmaSNPHarper
3001123090,elainesmithmsp
3068106785,RonaMackayMSP
3097198714,aewingmsp
3225441058,JennyGilruth
3319350172,KateForbesMSP
3382801733,fultonsnp
3387244553,MilesBriggsMSP
3402637000,GilMPaterson
3417534669,Liam4Orkney
3727749075,DeanLockhartMSP
4011944531,BillKiddSNP
4441464215,pauline4glasgow
729748288006717441,PeterChapmanMSP
733368807612395520,Rachael2Win
745935728878682112,GLindhurstMSP
765825059596472320,AlisonHarrisMSP
