id,name,start_date,end_date,source
13,13th Parliament of Malaysia,2013-06-24,,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
12,12th Parliament of Malaysia,2008,2013,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
11,11th Parliament of Malaysia,2004,2008,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
10,10th Parliament of Malaysia,1999,2004,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
9,9th Parliament of Malaysia,1995,1999,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
8,8th Parliament of Malaysia,1990,1995,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
7,7th Parliament of Malaysia,1986,1990,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
6,6th Parliament of Malaysia,1982,1986,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
5,5th Parliament of Malaysia,1978,1982,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
4,4th Parliament of Malaysia,1974,1978,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
3,3rd Parliament of Malaysia,1969,1974,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
2,2nd Parliament of Malaysia,1964,1969,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
1,1st Parliament of Malaysia,1959,1964,https://en.wikipedia.org/wiki/List_of_members_of_the_Dewan_Rakyat
