id,label,description,type
Q862559,Prime Minister of Malaysia,position,cabinet
Q5261073,Deputy Prime Minister of Malaysia,"",cabinet
Q20449744,Minister of Defence,cabinet minister in Malaysia,cabinet
Q30601355,Minister of Foreign Affairs,cabinet minister in Malaysia,cabinet
Q23939417,Minister of Home Affairs,function in Malaysia,cabinet
Q7574262,Speaker of the Dewan Rakyat,"",self
Q21290861,Member of the Dewan Rakyat,"",self
