id,name,start_date,end_date
1,1e législature,1973,1978
2,2e législature,1978,1983
3,3e législature,1983,1988
4,4e législature,1988,1992
5,5e législature,1992,1997
6,6e législature,1997,2002
7,7e législature,2002,2007
8,8e législature,2007,2013
9,9e législature,2013,
