statement,id,name,start_date,end_date,wikidata
Q784112-faf041c7-4b84-8cfb-97ce-06fe9022b6b5,1,1st Canadian Parliament,1867-11-06,1872-07-08,Q784112
Q2815900-afce1978-4a29-d3f6-56f3-46820ebd2621,2,2nd Canadian Parliament,1873-03-05,1874-01-02,Q2815900
Q2816603-0eb92b1e-4e82-d1ed-bae0-d3474b06dca8,3,3rd Canadian Parliament,1874-03-26,1878-08-17,Q2816603
Q2817032-04fc89d0-4931-cf7e-474d-11a9bbf0037b,4,4th Canadian Parliament,1879-02-13,1882-05-18,Q2817032
Q2817857-7901277f-4f8a-b5c6-47fa-edd0a2f9df36,5,5th Canadian Parliament,1883-02-08,1887-01-15,Q2817857
Q2818144-c6d21240-4ac2-497d-2bfd-7f493416593c,6,6th Canadian Parliament,1887-04-13,1891-02-03,Q2818144
Q2818399-92f49386-49b3-b3cb-1833-5ec50b041b90,7,7th Canadian Parliament,1891-04-29,1896-04-24,Q2818399
Q2818627-a170b5a5-431b-a0ce-44af-6a4d3fcd72e1,8,8th Canadian Parliament,1896-08-19,1900-10-09,Q2818627
Q2818810-83b36023-40d2-e797-209a-4540c65753e7,9,9th Canadian Parliament,1901-02-06,1904-09-29,Q2818810
Q2806875-18f39f5d-4b43-8a00-d891-8eeacf383e8a,10,10th Canadian Parliament,1905-01-11,1908-09-17,Q2806875
Q958834-2ab6e98a-4fd5-6461-43f4-ca865d682308,11,11th Canadian Parliament,1909-01-20,1911-07-29,Q958834
Q2807469-2a9f8373-409e-258b-7035-3715bf685f02,12,12th Canadian Parliament,1911-11-15,1917-10-06,Q2807469
Q2807633-4d989b3c-4471-facd-605b-8fe1f75cb7d3,13,13th Canadian Parliament,1918-03-18,1921-10-04,Q2807633
Q2807921-1a9cc6ea-432d-279a-5a79-ef74465a47a7,14,14th Canadian Parliament,1922-03-08,1925-09-05,Q2807921
Q2808368-fe18dcb1-40d9-5747-c264-86b16b357358,15,15th Canadian Parliament,1926-01-07,1926-07-02,Q2808368
Q2808908-7d9112a6-4799-8860-ca9a-3fc816fa1c85,16,16th Canadian Parliament,1926-12-09,1930-05-30,Q2808908
Q2809664-1d2c9366-440b-c460-cba9-4b403c0c418c,17,17th Canadian Parliament,1930-09-08,1935-08-14,Q2809664
Q2810909-186feca2-42bc-aaa9-dfb3-a1dfdb09f0ba,18,18th Canadian Parliament,1936-02-06,1940-01-25,Q2810909
Q2813443-22eacbf9-4017-8c43-885b-238737083fa2,19,19th Canadian Parliament,1940-05-16,1945-04-16,Q2813443
Q683807-122c6e7f-4b87-9c3e-bfb8-93fee1783194,20,20th Canadian Parliament,1945-09-06,1949-04-30,Q683807
Q2814893-57b0d29a-4936-551e-a556-f3a10be1f5a7,21,21st Canadian Parliament,1949-09-15,1953-06-13,Q2814893
Q2815001-d7bd6088-45fb-e66d-d324-35837d4b62e4,22,22nd Canadian Parliament,1953-11-12,1957-04-12,Q2815001
Q2815155-cba27ba6-4b90-afce-4ef2-b1587de8ec84,23,23rd Canadian Parliament,1957-10-14,1958-02-01,Q2815155
Q2815301-4d2afce1-493f-529a-808b-0291d6e12afd,24,24th Canadian Parliament,1958-05-12,1962-04-19,Q2815301
Q2815405-fadd6947-48f2-5869-c26c-56fa6acfd1b6,25,25th Canadian Parliament,1962-09-27,1963-02-06,Q2815405
Q2815507-ca116d78-4971-44be-f5b0-ac196c100aae,26,26th Canadian Parliament,1963-05-16,1965-09-08,Q2815507
Q607911-E5CF3E16-4CF7-4212-88A6-DEB123BD4273,27,27th Canadian Parliament,1966-01-18,1968-04-23,Q607911
Q2815682-a00586f4-4ec5-fc42-8ec6-9a0196bdec2c,28,28th Canadian Parliament,1968-09-12,1972-09-01,Q2815682
Q2815754-a8c243b8-49fc-e338-b38d-1e7f230e805b,29,29th Canadian Parliament,1973-01-04,1974-05-09,Q2815754
Q524271-9F380BEB-8287-467D-83F5-45658CF3E076,30,30th Canadian Parliament,1974-09-30,1979-03-26,Q524271
Q2816154-F7566CFD-16EA-4C2D-941E-204491659DFE,31,31st Canadian Parliament,1979-10-09,1979-12-14,Q2816154
Q2816187-5D3B613E-AB0C-4646-B243-55F2A9D3646E,32,32nd Canadian Parliament,1980-04-14,1984-07-09,Q2816187
Q2816229-199E3230-BCC7-43AD-9DCD-0FC8758E5D66,33,33rd Canadian Parliament,1984-11-05,1988-10-01,Q2816229
Q2816274-E8E3DEFA-C5A3-43F1-967C-08E1CC21DCE4,34,34th Canadian Parliament,1988-12-12,1993-09-08,Q2816274
Q2816325-86921DE0-D41B-4ED1-BD24-CCE10B8E181F,35,35th Canadian Parliament,1994-01-17,1997-04-27,Q2816325
Q607111-738B4756-E45B-4195-95D6-911A49A45243,36,36th Canadian Parliament,1997-09-22,2000-10-22,Q607111
Q2816403-9C5B5298-A139-47EA-82B2-280AA96079EA,37,37th Canadian Parliament,2001-01-29,2004-05-23,Q2816403
Q2816426-9442EE20-C2B0-492D-9A6B-0AA0E2F340F3,38,38th Canadian Parliament,2004-10-04,2005-11-29,Q2816426
Q2816456-4A429FC1-7930-4594-BFBB-481E499B9B28,39,39th Canadian Parliament,2006-04-03,2008-09-07,Q2816456
Q2816734-e58e5b74-4fcd-5138-54b8-57c62d842f32,40,40th Canadian Parliament,2008-11-18,2011-03-26,Q2816734
Q2816776-10e5eabb-43c6-61c0-c163-2ec967b6ab09,41,41st Canadian Parliament,2011-06-02,2015-08-02,Q2816776
Q21157957-64255901-49ff-7856-64f7-0d3d79fd9c5a,42,42nd Canadian Parliament,2015-12-03,"",Q21157957
