id,name,youtube,area
ALatendresseNPD,Alexandrine Latendresse,http://www.youtube.com/user/AlexandrineNPD,Louis-Saint-Laurent
AndrewScheer,Andrew Scheer,http://www.youtube.com/user/AndrewScheerMP,Regina—Qu'Appelle
AnneMTQuach,Anne Minh Thu Quach,http://www.youtube.com/user/AnneQuach,Beauharnois—Salabe
AnneMarieDay,Anne-Marie Day,http://www.youtube.com/user/annemarieday,Charlesbourg—Haute
AnnickPapillon,Annick Papillon,http://www.youtube.com/user/papillonannick,Québec
BrianStorseth,Brian Storseth,http://www.youtube.com/user/BrianStorseth,Westlock—St. Paul
CharlieAngusMP,Charlie Angus,http://www.youtube.com/user/charlieangus,Timmins—James Bay
ClearyNDP,Ryan Cleary,http://www.youtube.com/user/RyanClearyMP,
CraigScottNDP,Craig Scott,http://www.youtube.com/user/craigscottndp,Toronto—Danforth
DSellahNPD,Djaouida Sellah,http://www.youtube.com/user/DjaouidaSellah,Saint-Bruno—Saint-
DavidAndersonSK,David Anderson,http://www.youtube.com/user/davidandersonsk,Cypress Hills—Gras
DavidMcGuinty,David McGuinty,http://www.youtube.com/user/davidmcguinty,Ottawa South
DenisBlanchette,Denis Blanchette,http://www.youtube.com/user/NPDDenis,Louis-Hébert
DionneLabelleMP,Pierre Dionne Labelle,http://www.youtube.com/user/PierreDionneLabelle2,Rivière-du-Nord
DonDavies,Don Davies,http://www.youtube.com/user/dondaviesndp,Taschereau
EdHolderCPC,Ed Holder,http://www.youtube.com/user/EdHolderMP,
ElizabethMay,Elizabeth May,http://www.youtube.com/user/canadiangreenparty,Saanich—Gulf Islan
F_Choquette,Francois Choquette,http://www.youtube.com/user/ChoquetteFrancois,Drummond
GalipeauOrleans,Royal Galipeau,http://www.youtube.com/user/galipeaump,Alma-Lac-St-Jean
HLaverdiere2,Hélène Laverdière,http://www.youtube.com/user/HeleneLaverdiere,Laurier—Sainte-Mar
HamiltonCntrNDP,David Christopherson,http://www.youtube.com/user/UCTv8ZXU8rfiRB3Bb3bW7hLg,
HedyFry,Hedy Fry,http://www.youtube.com/user/hedyfry,
HeleneLeBlanc,Hélène LeBlanc,http://www.youtube.com/user/HLEBLANCNPD,LaSalle—Émard
JPNichollsNPD,Jamie Nicholls,http://www.youtube.com/user/jamienichollsnpd,Vaudreuil-Soulanges
JackHarrisNDP,Jack Harris,http://www.youtube.com/user/JackHarrisNDP,St. John's East
JacquesGourde,Jacques Gourde,http://www.youtube.com/user/jacquesgourde,Lotbinière—Chutes
JamesMoore_org,James Moore,http://www.youtube.com/user/JamesMooreMP,Port Moody—Westwoo
JohnWestonMP,John Weston,http://www.youtube.com/user/johnwestonmp,
Joyce_Bateman,Joyce Bateman,http://www.youtube.com/user/JoyceBatemanMP,
KeithAshfield11,Keith Ashfield,http://www.youtube.com/user/UC2mT18E_GeR_TguV17X3EaQ,Fredericton
KellieLeitch,Kellie Leitch,http://www.youtube.com/user/KellieLeitchMP,Simcoe—Grey
LibbyDavies,Libby Davies,http://www.youtube.com/user/LibbyDaviesMP,Vancouver East
Lynne_Yelich,Lynne Yelich,http://www.youtube.com/user/lynneyelichoffice,Blackstrap
MC_Morin_NPD,Marie-Claude Morin,http://www.youtube.com/user/MCMorinNPD,Saint-Hyacinthe—Ba
MPJulian,Peter Julian,http://www.youtube.com/user/PeterJulianMP,Beloeil-Chambly
MPNinaGrewal,Nina Grewal,http://www.youtube.com/user/MPNinaGrewal,Fleetwood—Port Kel
MPerreaultNPD,Manon Perreault,http://www.youtube.com/user/ManonPerreault,Montcalm
MarjBoutinSweet,Marjolaine Boutin-Sweet,http://www.youtube.com/user/mboutinsweet,Hochelaga
MarkEyking_MP,Mark Eyking,http://www.youtube.com/user/Eykinm1,Sydney—Victoria
MattDube,Matthew Dubé,http://www.youtube.com/user/MattDubeTV,Chambly—Borduas
MatthewKellway,Matthew Kellway,http://www.youtube.com/user/mattkellway,Beaches—East York
MeganLeslieMP,Megan Leslie,http://www.youtube.com/user/MeganLeslieMP,Halifax
MooreNpd,Christine Moore,http://www.youtube.com/user/ChristineMooreMP,Abitibi—Témiscami
