id,name,twitter,area
Crockatteer,Joan Crockatt,@Crockatteer,Calgary Centre
DSellahNPD,Djaouida Sellah,@DSellahNPD,Saint-Bruno—Saint-
DanAlbas,Dan Albas,@DanAlbas,Okanagan—Coquihall
DavidAndersonSK,David Anderson,@DavidAndersonSK,Cypress Hills—Gras
DavidMcGuinty,David McGuinty,@DavidMcGuinty,Ottawa South
DavidSweetMP,David Sweet,@DavidSweetMP,Ancaster—Dundas—
DeanAllisonMP,Dean Allison,@DeanAllisonMP,Niagara West—Glanb
DenisBlanchette,Denis Blanchette,@DenisBlanchette,Louis-Hébert
DenisCoderre,Denis Coderre,@DenisCoderre,Laval-des-Rapides
DionneLabelleMP,Pierre Dionne Labelle,@DionneLabelleMP,Rivière-du-Nord
DonDavies,Don Davies,@DonDavies,Taschereau
EdHolder_MP,Ed Holder,@EdHolder_MP,London West
Elect_BrianJean,Brian Jean,@Elect_BrianJean,Fort McMurray—Atha
ElizabethMay,Elizabeth May,@ElizabethMay,Saanich—Gulf Islan
F_Choquette,Francois Choquette,@F_Choquette,Drummond
F_Lapointe,François Lapointe,@F_Lapointe,MontmagnyL'Islet
FinDonnelly,Fin Donnelly,@FinDonnelly,New Westminster—Co
GSchellenberger,Gary Schellenberger,@GSchellenberger,Perth—Wellington
GalipeauOrleans,Royal Galipeau,@GalipeauOrleans,Alma-Lac-St-Jean
GenestJourdain,Jonathan Genest-Jourdain,@GenestJourdain,Manicouagan
GeraldKeddy,Gerald Keddy,@GeraldKeddy,South Shore—St. Ma
Gerry_Byrne,Gerry Byrne,@Gerry_Byrne,HumberSt. Barbe
GuyCaronNPD,Guy Caron,@GuyCaronNPD,Rimouski-Neigette—
HLaverdiere2,Hélène Laverdière,@HLaverdiere2,Laurier—Sainte-Mar
HedyFry,Hedy Fry,@HedyFry,Vancouver Centre
HeleneLeBlanc,Hélène LeBlanc,@HeleneLeBlanc,LaSalle—Émard
HiebertRuss,Russ Hiebert,@HiebertRuss,South Surrey—White
HonEdFast,Ed Fast,@HonEdFast,Abbotsford
IsabelleMorinMP,Isabelle Morin,@IsabelleMorinMP,Notre-Dame-de-Grâce
JJLibertarian,Jason,@JJLibertarian,Newmarket—Aurora
JPNichollsNPD,Jamie Nicholls,@JPNichollsNPD,Vaudreuil-Soulanges
JackHarrisNDP,Jack Harris,@JackHarrisNDP,St. John's East
JacquesGourde,Jacques Gourde,@JacquesGourde,Lotbinière—Chutes
JamesMoore_org,James Moore,@JamesMoore_org,Port Moody—Westwoo
JamesRajotte,James Rajotte,@JamesRajotte,Edmonton—Leduc
JayAspin,Jay Aspin,@JayAspin,Nipissing—Timiskam
JeanCrowder,Jean Crowder,@JeanCrowder,Nanaimo—Cowichan
JimFlaherty,Jim Flaherty,@JimFlaherty,Whitby—Oshawa
