id,name,facebook,area
ALatendresseNPD,Alexandrine Latendresse,http://www.facebook.com/people/Alexandrine-Latendresse/100002929322219,Louis-Saint-Laurent
AndrewSaxton1,Andrew Saxton,http://www.facebook.com/pages/Re-Elect-Andrew-Saxton-in-North-Vancouver/189261431120290,North Vancouver
AndrewScheer,Andrew Scheer,http://www.facebook.com/AndrewScheerMP,Regina—Qu'Appelle
AnneMTQuach,Anne Minh Thu Quach,http://www.facebook.com/AnneMTQuach,Beauharnois—Salabe
AnneMarieDay,Anne-Marie Day,http://www.facebook.com/pages/Anne-Marie-Day-NPD/191889404181173,Charlesbourg—Haute
AnnickPapillon,Annick Papillon,http://www.facebook.com/AnnickPapillon.NPD,Québec
BalGosal,Baljit Gosal,http://www.facebook.com/pages/Bal-Gosal/155006724554020,Bramalea—Gore—Ma
BernardTrottier,Bernard Trottier,http://www.facebook.com/pages/Bernard-Trottier/128026606262,
BrianStorseth,Brian Storseth,http://www.facebook.com/Brian.Storseth.MP,Westlock—St. Paul
CPCGailShea,Gail Shea,http://www.facebook.com/gailshea,Egmont
Carolyn_Bennett,Carolyn Bennett,http://www.facebook.com/pages/Carolyn-Bennett/19746116584,St. Paul's
Cathy_McLeod,Cathy McLeod,http://www.facebook.com/pages/Cathy-McLeod/126588890698782,KamloopsThompson
CharlieAngusMP,Charlie Angus,http://www.facebook.com/pages/Re-Elect-Charlie-Angus-MP/142955422437215,Timmins—James Bay
ClearyNDP,Ryan Cleary,http://www.facebook.com/pages/Ryan-Cleary/218945144787655,
CraigScottNDP,Craig Scott,http://www.facebook.com/pages/Craig-Scott/209817709112619,Toronto—Danforth
Crockatteer,Joan Crockatt,https://www.facebook.com/joan.crockatt,Calgary Centre
DSellahNPD,Djaouida Sellah,http://www.facebook.com/Djaouida.Sellah,Saint-Bruno—Saint-
DavidAndersonSK,David Anderson,http://www.facebook.com/pages/David-Anderson-MP-for-Cypress-Hills-Grasslands-SK/167781826574177,Cypress Hills—Gras
DavidMcGuinty,David McGuinty,http://www.facebook.com/davidmcguinty,Ottawa South
DeanAllisonMP,Dean Allison,http://www.facebook.com/pages/Dean-Allison/25765199451,Niagara West—Glanb
DenisBlanchette,Denis Blanchette,http://www.facebook.com/pages/Denis-Blanchette/13256142620,Louis-Hébert
DenisCoderre,Denis Coderre,http://www.facebook.com/pages/Amis-de-Denis-Coderre-Friends-of-Denis-Coderre/204915269991,Laval-des-Rapides
DionneLabelleMP,Pierre Dionne Labelle,http://www.facebook.com/pierre.dionne.labelle.npd,Rivière-du-Nord
DonDavies,Don Davies,http://www.facebook.com/DonDaviesNDP,Taschereau
EdHolderCPC,Ed Holder,http://www.facebook.com/pages/Ed-Holder-MP-for-London-West/111702495519652,
Elect_BrianJean,Brian Jean,http://www.facebook.com/pages/Brian-Jean/26731418715,Fort McMurray—Atha
ElizabethMay,Elizabeth May,http://www.facebook.com/pages/Elizabeth-May/20647428344,Saanich—Gulf Islan
F_Choquette,Francois Choquette,http://www.facebook.com/FChoquetteNPD,Drummond
F_Lapointe,François Lapointe,http://www.facebook.com/francois.lapointe.npd.page,MontmagnyL'Islet
GSchellenberger,Gary Schellenberger,http://www.facebook.com/pages/Gary-Schellenberger/7862627114,Perth—Wellington
GalipeauOrleans,Royal Galipeau,http://www.facebook.com/people/Royal-Galipeau/1297941517,Alma-Lac-St-Jean
GenestJourdain,Jonathan Genest-Jourdain,http://www.facebook.com/jonathan.g.jourdain,Manicouagan
HLaverdiere2,Hélène Laverdière,http://www.facebook.com/pages/H%C3%A9l%C3%A8ne-Laverdi%C3%A8re-NPD-LaurierSte-Marie/173345296049629,Laurier—Sainte-Mar
HamiltonCntrNDP,David Christopherson,http://www.facebook.com/DavidChristophersonNDP,
HedyFry,Hedy Fry,http://www.facebook.com/pages/Dr-Hedy-Fry/6172639058,
HeleneLeBlanc,Hélène LeBlanc,http://www.facebook.com/HeleneLeBlancLaSalleEmard,LaSalle—Émard
JJLibertarian,Jason,https://www.facebook.com/pages/Jason-Jenkins-for-Parliament/399670493523615?ref=bookmarks,Newmarket—Aurora
JPNichollsNPD,Jamie Nicholls,http://www.facebook.com/jamienichollsndp,Vaudreuil-Soulanges
JackHarrisNDP,Jack Harris,http://www.facebook.com/pages/Jack-Harris/38470344017,St. John's East
JacquesGourde,Jacques Gourde,http://www.facebook.com/jacques.gourde,Lotbinière—Chutes
JamesMoore_org,James Moore,http://www.facebook.com/pages/James-Moore/21552631261,Port Moody—Westwoo
JamesRajotte,James Rajotte,http://www.facebook.com/edmontonleduc,Edmonton—Leduc
JimFlaherty,Jim Flaherty,http://www.facebook.com/pages/Jim-Flaherty/49500135386,Whitby—Oshawa
JohnBCarmichael,John Carmichael,http://www.facebook.com/votecarmichael,Don Valley West
JohnDuncanMP,John Duncan,https://www.facebook.com/pages/John-Duncan-Mp/119027074948984,Vancouver Island Nor
JohnWestonMP,John Weston,http://www.facebook.com/JohnWestonMP,
Jonathan_tremb,Jonathan Tremblay,http://www.facebook.com/MP.jonathan.tremblay,
JudyFoote,Judy Foote,http://www.facebook.com/pages/Judy-Foote/36948418784,Random—Burin—St.
JudySgro,Judy Sgro,http://www.facebook.com/pages/Judy-Sgro/29642650496,York West
JulianFantino,Julian Fantino,http://www.facebook.com/pages/Julian-Fantino/166075460072162,Vaughan
JustinTrudeau,Justin Trudeau,http://www.facebook.com/pages/Justin-Trudeau/21751825648,Papineau
KLDF2011,Kerry-Lynne Findlay,http://www.facebook.com/pages/Kerry-Lynne-Findlay-QC/102431099842674,Delta—Richmond Eas
KeithAshfield11,Keith Ashfield,https://www.facebook.com/keithashfieldmpfredericton,Fredericton
KellieLeitch,Kellie Leitch,http://www.facebook.com/pages/Kellie-Leitch/148744515162938,Simcoe—Grey
Kevin_Lamoureux,Kevin Lamoureux,http://www.facebook.com/pages/Kevin-Lamoureux-for-MP-Winnipeg-North/145639195477650,Winnipeg North
LaVarMP,LaVar Payne,http://www.facebook.com/people/LaVar-Payne/733796432,Medicine Hat
LibbyDavies,Libby Davies,http://www.facebook.com/pages/Libby-Davies/7154945923,Vancouver East
Lynne_Yelich,Lynne Yelich,http://www.facebook.com/pages/Lynne-Yelich/64666054978,Blackstrap
MC_Morin_NPD,Marie-Claude Morin,http://www.facebook.com/pages/Marie-Claude-Morin-députée-de-Saint-Hyacinthe-Bagot/100746273367636,Saint-Hyacinthe—Ba
MPJulian,Peter Julian,http://www.facebook.com/pages/Peter-Julian-MP/7586973623,Beloeil-Chambly
MPNinaGrewal,Nina Grewal,http://www.facebook.com/NinaGrewalMP,Fleetwood—Port Kel
MPerreaultNPD,Manon Perreault,http://www.facebook.com/pages/Manon-Perreault/260755630618085,Montcalm
MacKayCPC,Peter MacKay,http://www.facebook.com/pages/Re-Elect-Peter-MacKay-in-Central-Nova/212683075415064,Central Nova
MarcGarneau,Marc Garneau,http://www.facebook.com/pages/Marc-Garneau/21128206560,Westmount—Ville-Ma
MarjBoutinSweet,Marjolaine Boutin-Sweet,http://www.facebook.com/marjolaineboutinsweet,Hochelaga
MathieuRavignat,Mathieu Ravignat,http://www.facebook.com/pages/Mathieu-Ravignat-Pontiac/198495670186460,Pontiac
MattDube,Matthew Dubé,http://www.facebook.com/matthewdube.chamblyborduas,Chambly—Borduas
MatthewKellway,Matthew Kellway,http://www.facebook.com/matthewkellway,Beaches—East York
MeganLeslieMP,Megan Leslie,http://www.facebook.com/pages/Megan-Leslie/28349247982,Halifax
MooreNpd,Christine Moore,https://www.facebook.com/ChristineMooreNPD,Abitibi—Témiscami
MurrayRankin,Murray Rankin,https://www.facebook.com/MurrayRankinMP,Victoria
PLDusseault,Pierre-Luc Dusseault,http://www.facebook.com/PLDusseaultNPD,Sherbrooke
ParmGill,Parm Gill,http://www.facebook.com/pages/Parm-Gill/96969700701,Brampton—Springdal
PaulCalandra,Paul Calandra,http://www.facebook.com/pages/Paul-Calandra/97706410091,Oak Ridges—Markham
PaulDewar,Paul Dewar,http://www.facebook.com/pages/Paul-Dewar/21201054432,Frontenac
PeggyNashNDP,Peggy Nash,http://www.facebook.com/pages/Peggy-Nash/120766445468,Parkdale—High Park
PeterPenashue,Peter Penashue,http://www.facebook.com/pages/Peter-Penashue/202446896444180,Labrador
Phil4Brant,Phil McColeman,http://www.facebook.com/ReElectPhilMcColeman,Brant
RCoteBL2011,Raymond Côté,https://www.facebook.com/RCoteNPD,Beauport—Limoilou
RE_Brosseau,Ruth Ellen Brosseau,http://www.facebook.com/pages/Ruth-Ellen-Brosseau/196281490417162,Berthier—Maskinong
RalphGoodale,Ralph Goodale,http://www.facebook.com/ralphgoodale,Wascana
RandyHobackMP,Randy Hoback,http://www.facebook.com/profile.php?id=1150931484,Prince Albert
RandyKampMP,Randy Kamp,http://www.facebook.com/pages/Randy-Kamp/10029901492,Pitt Meadows—Maple
RathikaS,Rathika Sitsabaiesan,http://www.facebook.com/pages/Rathika-Sitsabaiesan/193830102694,Scarborough—Rouge 
RichardIHosein,Richard Hosein,http://www.facebook.com/Richard.Hosein.SurreyGreen,Fleetwood—Port Kel
RickDykstra,Rick Dykstra,http://www.facebook.com/pages/Rick-Dykstra/6448493769,La Prairie
Rob_Clarke_MP,Rob Clarke,https://www.facebook.com/RobClarkeMP,
RobertAubinNPD,Robert Aubin,http://www.facebook.com/robertaubin.deputenpdtr,Trois-Rivières
RobertNDP,Robert Chisholm,http://www.facebook.com/RobertChisholmNDP,Dartmouth—Cole Har
RobertSopuck,Robert Sopuck,https://www.facebook.com/RobertSopuckMP,Dauphin-Swan River-N
RodgerCuzner,Rodger Cuzner,http://www.facebook.com/pages/Rodger-Cuzner/6229329915,Cape Breton—Canso
RomeoSaganash,Romeo Saganash,http://www.facebook.com/RomeoSaganash,Abitibi—Baie-James
RonCannan,Ron Cannan,http://www.facebook.com/pages/Re-Elect-Ron-Cannan-in-Kelowna-Lake-Country/158560167534960,Kelowna—Lake Count
RosaneDL,Rosane Doré Lefebvre,http://www.facebook.com/rosane.npd,Alfred-Pellan
SanaNPD,Sana Hassainia,http://facebook.com/sanaNPD,Verchères—Les Pat
ScottAndrewsMP,Scott Andrews,http://www.facebook.com/pages/Scott-Andrews/26946316089,Avalon
ShellyGloverMIN,Shelly Glover,https://www.facebook.com/MPShellyGlover,Saint Boniface
TarikBrahmi,Tarik Brahmi,http://www.facebook.com/tarik.brahmi,Saint-Jean
TedMenzies,Ted Menzies,http://www.facebook.com/pages/Ted-Menzies/109039542512506,Macleod
