id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
25220,Mike Kane,,,Labour,labour,Wythenshawe and Sale East,House of Commons,56,2015-05-08,,,
11626,Mike Penning,,,Conservative,conservative,Hemel Hempstead,House of Commons,56,2015-05-08,,,
25362,Mike Wood,,,Conservative,conservative,Dudley South,House of Commons,56,2015-05-08,,,
25330,Mims Davies,,,Conservative,conservative,Eastleigh,House of Commons,56,2015-05-08,,,
24822,Nadhim Zahawi,,,Conservative,conservative,Stratford-on-Avon,House of Commons,56,2015-05-08,,,
11397,Nadine Dorries,,,Conservative,conservative,Mid Bedfordshire,House of Commons,56,2015-05-08,,,
25385,Naseem Shah,,,Labour,labour,Bradford West,House of Commons,56,2015-05-08,,,
25303,Natalie McGarry,,,Scottish National Party,scottish-national-party,Glasgow East,House of Commons,56,2015-05-08,,,
11534,Natascha Engel,,,Labour,labour,North East Derbyshire,House of Commons,56,2015-05-08,,,
24840,Neil Carmichael,,,Conservative,conservative,Stroud,House of Commons,56,2015-05-08,,,
25326,Neil Coyle,,,Labour,labour,Bermondsey and Old Southwark,House of Commons,56,2015-05-08,,,
25293,Neil Gray,,,Scottish National Party,scottish-national-party,Airdrie and Shotts,House of Commons,56,2015-05-08,,,
24779,Neil Parish,,,Conservative,conservative,Tiverton and Honiton,House of Commons,56,2015-05-08,,,
11692,Nia Griffith,,,Labour,labour,Llanelli,House of Commons,56,2015-05-08,,,
24766,Nicholas Boles,,,Conservative,conservative,Grantham and Stamford,House of Commons,56,2015-05-08,,,
24798,Nicholas Dakin,,,Labour,labour,Scunthorpe,House of Commons,56,2015-05-08,,,
10555,Nicholas Soames,,,Conservative,conservative,Mid Sussex,House of Commons,56,2015-05-08,,,
10069,Nick Brown,,,Labour,labour,Newcastle upon Tyne East,House of Commons,56,2015-05-08,,,
11812,Nick Clegg,,,Liberal Democrat,liberal-democrat,"Sheffield, Hallam",House of Commons,56,2015-05-08,,,
10225,Nick Gibb,,,Conservative,conservative,Bognor Regis and Littlehampton,House of Commons,56,2015-05-08,,,
11377,Nick Herbert,,,Conservative,conservative,Arundel and South Downs,House of Commons,56,2015-05-08,,,
11792,Nick Hurd,,,Conservative,conservative,"Ruislip, Northwood and Pinner",House of Commons,56,2015-05-08,,,
24728,Nick Smith,,,Labour,labour,Blaenau Gwent,House of Commons,56,2015-05-08,,,
25279,Nick Thomas-Symonds,,,Labour,labour,Torfaen,House of Commons,56,2015-05-08,,,
24732,Nicky Morgan,,,Conservative,conservative,Loughborough,House of Commons,56,2015-05-08,,,
24842,Nicola Blackwood,,,Conservative,conservative,Oxford West and Abingdon,House of Commons,56,2015-05-08,,,
24878,Nigel Adams,,,Conservative,conservative,Selby and Ainsty,House of Commons,56,2015-05-08,,,
10857,Nigel Dodds,,,DUP,dup,Belfast North,House of Commons,56,2015-05-08,,,
10190,Nigel Evans,,,Conservative,conservative,Ribble Valley,House of Commons,56,2015-05-08,,,
25381,Nigel Huddleston,,,Conservative,conservative,Mid Worcestershire,House of Commons,56,2015-05-08,,,
24965,Nigel Mills,,,Conservative,conservative,Amber Valley,House of Commons,56,2015-05-08,,,
