id,name,identifier__historichansard,identifier__datadotparl,identifier__parlparse,constituency,constituency_id,party,party_id,start_date,start_reason,end_date,end_reason,term
10091,Dennis Canavan,173,,uk.org.publicwhip/person/10091,Falkirk West,uk.org.publicwhip/cons/10757,Independent,independent,1999-05-06,regional_election,2003-03-31,regional_election,1
10091,Dennis Canavan,173,,uk.org.publicwhip/person/10091,Falkirk West,uk.org.publicwhip/cons/10757,Independent,independent,2003-05-01,regional_election,2007-04-02,regional_election,2
10102,Malcolm Chisholm,184,,uk.org.publicwhip/person/10102,Edinburgh North and Leith,uk.org.publicwhip/cons/10752,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
10102,Malcolm Chisholm,184,,uk.org.publicwhip/person/10102,Edinburgh North and Leith,uk.org.publicwhip/cons/10752,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
10102,Malcolm Chisholm,184,,uk.org.publicwhip/person/10102,Edinburgh North and Leith,uk.org.publicwhip/cons/10752,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
10102,Malcolm Chisholm,184,,uk.org.publicwhip/person/10102,Edinburgh Northern and Leith,uk.org.publicwhip/cons/10813,Labour,labour,2011-05-06,regional_election,2016-03-23,regional_election,4
10148,Roseanna Cunningham,227,,uk.org.publicwhip/person/10148,Perth,uk.org.publicwhip/cons/10787,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10148,Roseanna Cunningham,227,,uk.org.publicwhip/person/10148,Perth,uk.org.publicwhip/cons/10787,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
10148,Roseanna Cunningham,227,,uk.org.publicwhip/person/10148,Perth,uk.org.publicwhip/cons/10787,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
10148,Roseanna Cunningham,227,,uk.org.publicwhip/person/10148,Perthshire South and Kinross-shire,uk.org.publicwhip/cons/10830,Scottish National Party,scottish-national-party,2011-05-06,regional_election,2016-03-23,regional_election,4
10168,Donald Dewar,83,,uk.org.publicwhip/person/10168,Glasgow Anniesland,uk.org.publicwhip/cons/10759,Labour,labour,1999-05-06,regional_election,2000-10-11,died,1
10191,Margaret Ewing,268,,uk.org.publicwhip/person/10191,Moray,uk.org.publicwhip/cons/10779,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10191,Margaret Ewing,268,,uk.org.publicwhip/person/10191,Moray,uk.org.publicwhip/cons/10779,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2006-03-21,died,2
10216,Sam Galbraith,291,,uk.org.publicwhip/person/10216,Strathkelvin and Bearsden,uk.org.publicwhip/cons/10792,Labour,labour,1999-05-06,regional_election,2001-05-14,resigned,1
