id,label,type
Q11794965,Minister of Arts and Culture,cabinet
Q11794974,Minister of Higher Education and Training,cabinet
Q1511951,Prime Minister of South Africa,cabinet
Q16744852,Minister of Police,cabinet
Q16744853,Minister of Public Works,cabinet
Q20981731,Minister in the Presidency,cabinet
Q20981732,Minister of Cooperative Governance and Traditional Affairs,cabinet
Q20981735,Minister of Energy,cabinet
Q20981738,Minister of Mineral Resources,cabinet
Q20981739,Minister of Public Enterprises,cabinet
Q20981742,Minister of Science and Technology,cabinet
Q20981744,Minister of Social Development,cabinet
Q20981745,Minister of Sport and Recreation,cabinet
Q20981747,Minister of Tourism,cabinet
Q20981749,Minister of Trade and Industry,cabinet
Q20981752,Minister of Women in the Presidency,cabinet
Q2128581,Minister of Finance,cabinet
Q2363110,Deputy President of South Africa,cabinet
Q2601386,Minister of Justice and Constitutional Development,cabinet
Q2640095,Minister of Home Affairs,cabinet
Q273884,President of South Africa,cabinet
Q3251789,Minister of Education,cabinet
Q3251805,Minister of Health,cabinet
Q4294929,Minister of International Relations and Cooperation,cabinet
Q6866029,"Minister of Agriculture, Forestry and Fisheries",cabinet
Q6866037,Minister of Agriculture and Land Affairs,cabinet
Q6866045,Minister of Basic Education,cabinet
Q6866063,Minister of Communications,cabinet
Q6866080,Minister of Correctional Services,cabinet
Q6866333,Minister of State Security,cabinet
Q6866406,Minister of Transport,cabinet
Q6866418,Minister of Water and Environmental Affairs,cabinet
Q806991,"Minister of Bantu Administration and Development, and Bantu Education",cabinet
Q972690,Minister of Defence and Military Veterans,cabinet
