id,name,executive,party,constituency,source,term
1,James Wani Igga,Speaker,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
2,Onyoti Adigo Nyikwac,Opposition/L,SPLM-DC,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
3,Daniel Awet Akot,D/Speaker,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
4,Anthony Lino Makana,Minister,SPLM,Western Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
5,Awut Deng Achuil,Minister,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
6,Agnes Kwaje Lasuba,Minister,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
7,Barnaba Marial Benjamin,Minister,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
8,David Deng Athorbei,Minister,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
9,Gier Chuang Aluong,Minister,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
10,James Kok Ruea,Minister,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
11,Dr. Luka T. Monoja,Minister,SPLM,Central Eq.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
12,Madut Biar Yel,Minister,SPLM,Northern B.G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
13,Michael Makuei Lueth,Minister,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
14,Nhial Deng Nhial,Minister,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
15,Nyalok Tiong Gatluak,Minister,SPLM,Unity,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
16,Paul Mayom Akec,Minister,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
17,Bangout Amum Okiech,Govt Chief W.,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
18,Andrew Okong Ayom,Opp. Chief W.,SPLM-DC,Upper Nile,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
19,Aleu Ayieny Aleu,Chairperson,SPLM,Warrap,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
20,Prof. Barri A. Wanji,Chairperson,SPLM,Western B. G.,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
21,Timothy Tut Chuol,Chairperson,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
22,Dengtiel A. Kur,Chairperson,SPLM,Jonglei,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
23,Daniel Deng Monydit,Chairperson,SPLM,Lakes,http://www.goss.org/index.php/legislative-assembly/honourable-members,1
