id,name,position_id,position,label,start_date,end_date,ordinal
Q1000061,Valentyn Symonenko,Q1000061-c74bd42a-4a63-3a12-14aa-2c3aa4f81fef,Q1145714,Prime Minister of Ukraine,1992-10-02,1992-10-13,0
Q1000061,Valentyn Symonenko,Q1000061-3E309F35-1F20-4354-9BC2-DC1BF5568FBA,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q1000061,Valentyn Symonenko,Q1000061-D6629C31-69AA-4092-9AD8-AC5C597E73A8,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q1000061,Valentyn Symonenko,Q1000061-241EBC09-AE7E-403A-83B4-8C5E4A6EC74B,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q1000061,Valentyn Symonenko,Q1000061-E3E354DF-40DD-4D4B-87B5-3EEA75C454BE,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q1000061,Valentyn Symonenko,Q1000061-FBF9BEF8-8DD3-4D21-8E7F-84EFBA4C124B,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q1000061,Valentyn Symonenko,Q1000061-31D1F18B-5981-42EA-863D-6AC449C5F8A2,Q16147568,First Deputy Prime Minister of Ukraine,1992-07-01,1992-10-01,0
Q12116148,Taras Kutovyi,Q12116148-ec7eb61e-4006-59ab-c217-9c0be51573fe,Q53678333,Minister of Agrarian Policy and Food,2016-04-04,"",0
Q12132510,Ihor Nasalyk,Q12132510-510505fe-4f6b-b1b6-601b-47350c06f2f1,Q25827669,Minister of Fuel and Energy,2016-04-14,"",0
Q12152002,Ostap Semerak,Q12152002-87ff722b-43f5-283b-605a-6da5b1794d38,Q53678351,Minister of Ecology and Natural Resources,2016-04-14,"",0
Q12173193,Ihor Yushko,Q12173193-057df0b9-4ff1-943a-54fc-79a5e0b8de0e,Q25525260,Minister of Finance,"","",0
Q1348657,Viktor Pynzenyk,Q1348657-54573a19-4d0a-8b14-53d5-c0142243e0d7,Q16147568,First Deputy Prime Minister of Ukraine,1994-10-31,1995-09-05,0
Q1348657,Viktor Pynzenyk,Q1348657-0a444d3a-4493-7b3d-a632-72a56ea0e218,Q25525260,Minister of Finance,2007-12-18,2009-02-17,0
Q1378506,Vyacheslav Kyrylenko,Q1378506-b30ca314-45e3-c4b0-2829-65e6b1b03878,Q877955,deputy prime minister,2014-12-02,"",0
Q1459658,Viktor Yanukovych,Q1459658-cf600eff-4ddf-fbf3-0750-7c7ec2178034,Q1145714,Prime Minister of Ukraine,2002-11-21,2004-12-07,0
Q1459658,Viktor Yanukovych,Q1459658-c8dd9b28-4d3b-6be5-c6f4-cbd9d673d43e,Q1145714,Prime Minister of Ukraine,2004-12-28,2005-01-05,0
Q1459658,Viktor Yanukovych,Q1459658-71d6a283-4cc0-99ea-3059-fe13ff783cde,Q1145714,Prime Minister of Ukraine,2006-08-04,2007-12-18,9
Q1459699,Viktor Yushchenko,Q1459699-1f824f0a-45ac-1122-b5aa-3cca0aa51a04,Q1145714,Prime Minister of Ukraine,1999-12-22,2001-05-29,0
Q1551591,Vasyl Tsushko,Q1551591-8af98eeb-4694-434d-1d34-806e1a6d960a,Q12131528,Minister of Interior Affairs,"","",0
Q15850,Oleksandr Turchynov,Q15850-af31c5e3-40d7-94f1-4eb6-26ee9332cf82,Q1145714,Prime Minister of Ukraine,2010-03-04,2010-03-11,0
Q15850,Oleksandr Turchynov,Q15850-B1483A11-AC86-47C2-9509-2C95DC0FFD5B,Q16147568,First Deputy Prime Minister of Ukraine,2007-12-01,2010-11-03,0
Q1605329,Hennadiy Udovenko,Q1605329-a8dbb3bb-4539-c1d0-4dd5-fe63e00aab23,Q6866156,Minister of Foreign Affairs,1994-04-05,1998-04-17,0
Q16699147,Ihor Zhdanov,Q16699147-c516a398-4166-de57-5c3f-e8c0009cb112,Q53706857,Minister of Youth and Sports,2016-04-14,"",0
Q1711465,Leonid Kozhara,Q1711465-776fdd0d-4eef-9340-3d72-3b2cfcce5a12,Q6866156,Minister of Foreign Affairs,2012-12-24,2014-02-23,0
Q1767960,Pavlo Lebedyev,Q1767960-B6C54EDD-28CA-403E-9743-38C4FFA2166B,Q33006385,Minister of Defence,"","",0
Q1969597,Ihor Yukhnovskyi,Q1969597-90e5ed6d-409a-06b8-4cff-c071e1d92efe,Q16147568,First Deputy Prime Minister of Ukraine,"","",0
Q2089730,Oleksandr Sych,Q2089730-ec67d89e-488e-df6e-3aef-ea2a2a4274c8,Q877955,deputy prime minister,2014-02-27,2014-11-12,0
Q2589861,Stepan Kubiv,Q2589861-87327f4d-4251-7eb3-4aa9-743b4a1831e3,Q16147568,First Deputy Prime Minister of Ukraine,2016-04-14,"",0
Q311116,Yuriy Yekhanurov,Q311116-764344D9-2240-46E7-959F-7E1A0CCF01EE,Q1145714,Prime Minister of Ukraine,2005-09-08,2005-09-22,0
Q311116,Yuriy Yekhanurov,Q311116-4eb20b6f-4ea1-610f-fdbd-0b015ac8afb4,Q1145714,Prime Minister of Ukraine,2005-09-22,2006-08-04,0
Q311116,Yuriy Yekhanurov,Q311116-2B8308A4-E78B-458D-8ECB-D4C8F7C56D08,Q33006385,Minister of Defence,"","",0
Q3331381,Mykola Prysyazhnyuk,Q3331381-04c90ef5-46c9-f6ff-f971-5881920eae5d,Q53678333,Minister of Agrarian Policy and Food,2010-03-11,2014-02-27,0
Q3527712,Liliia Hrynevych,Q3527712-9a2d2504-4c9e-a260-fd75-a0a46d06b2ec,Q53678183,Minister of Education and Science,2016-04-14,"",0
Q4150130,Volodymyr Groysman,Q4150130-b3d06790-4115-a04e-3a49-2d7869994240,Q1145714,Prime Minister of Ukraine,2016-04-14,"",0
Q4245525,Oleksandr Kuzmuk,Q4245525-6433284B-ACDE-4580-894B-E5BEF5F4DBEB,Q33006385,Minister of Defence,"","",0
Q4352142,Hennadiy Zubko,Q4352142-d65739cf-46a6-1ae3-8ab0-0fc3c30a1fa0,Q53675481,Minister of Regional Development,2016-04-14,"",0
Q4405676,Dmytro Salamatin,Q4405676-BBA49C38-E7D9-4549-979B-888E293F22AB,Q33006385,Minister of Defence,"","",0
Q4525616,Valeriy Shmarov,Q4525616-E3B45D2F-85EB-4590-9F7D-950965752A24,Q33006385,Minister of Defence,"","",0
Q458282,Yuriy Lutsenko,Q458282-40ed9660-46fa-4a87-facc-b90feedad4f3,Q12131528,Minister of Interior Affairs,2005-02-04,2006-12-01,0
Q458282,Yuriy Lutsenko,Q458282-413D745D-DDE1-46E5-9F70-AA3BFFBFA9CA,Q12131528,Minister of Interior Affairs,2007-12-18,2010-03-11,0
Q4706289,Ihor Oleksandrovych Shvaika,Q4706289-502b3495-46c1-f70f-602d-e54ef5f90613,Q10540834,agriculture minister,2014-02-27,2014-12-11,0
Q4706352,Pavlo Petrenko,Q4706352-49e312ce-4a7b-bbb6-0901-ea11051da69b,Q53678115,Minister of Justice,2016-04-14,"",0
Q471730,Arseniy Yatsenyuk,Q471730-e53b3bb5-4bd6-184d-96d4-d35a15b2c760,Q1145714,Prime Minister of Ukraine,2014-02-27,2016-04-14,0
Q471730,Arseniy Yatsenyuk,Q471730-6a666fba-4b8e-e674-fa0f-32d0c9107e27,Q6866156,Minister of Foreign Affairs,2007-03-21,2007-12-04,0
Q48283,Yulia Tymoshenko,Q48283-33d51619-4261-4708-b181-bada6eea6f1d,Q1145714,Prime Minister of Ukraine,2005-01-24,2005-09-08,0
