id,name,given_name,patronymic_name,family_name,area,term,start_date,end_date,image,party,source_url,faction,faction_id,area_id,identifier__rada
11121,Геращенко Ірина Володимирівна,Ірина,Володимирівна,Геращенко,Загальнодержавному багатомандатному округу,8,2016-04-15,,http://static.rada.gov.ua/dep_img8/bp9.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/11121,Позафракційні,,,11121
11129,Стець Юрій Ярославович,Юрій,Ярославович,Стець,Загальнодержавному багатомандатному округу,8,2014-11-27,2014-12-02,http://static.rada.gov.ua/dep_img8/bp13.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/11129,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,11129
11131,Петьовка Василь Васильович,Василь,Васильович,Петьовка,Закарпатська область,8,2014-11-27,2015-12-24,http://static.rada.gov.ua/dep_img8/d72_1.jpg,,http://itd.rada.gov.ua/mps/info/page/11131,Позафракційні,,72,11131
11131,Петьовка Василь Васильович,Василь,Васильович,Петьовка,Закарпатська область,8,2015-12-25,,http://static.rada.gov.ua/dep_img8/d72_1.jpg,,http://itd.rada.gov.ua/mps/info/page/11131,"Група ""Воля народу""",2619,72,11131
11166,Кондратюк Олена Костянтинівна,Олена,Костянтинівна,Кондратюк,Загальнодержавному багатомандатному округу,8,2014-12-04,,http://static.rada.gov.ua/dep_img8/but18.jpg,"політична партія Всеукраїнське об'єднання ""Батьківщина""",http://itd.rada.gov.ua/mps/info/page/11166,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,,11166
11173,Богдан Руслан Дмитрович,Руслан,Дмитрович,Богдан,Полтавська область,8,2016-09-06,2016-09-07,http://static.rada.gov.ua/dep_img8/d151_2.jpg,,http://itd.rada.gov.ua/mps/info/page/11173,Позафракційні,,151,11173
11173,Богдан Руслан Дмитрович,Руслан,Дмитрович,Богдан,Полтавська область,8,2016-09-08,,http://static.rada.gov.ua/dep_img8/d151_2.jpg,,http://itd.rada.gov.ua/mps/info/page/11173,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,151,11173
11342,Матузко Олена Олександрівна,Олена,Олександрівна,Матузко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp64.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/11342,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,11342
11584,Парубій Андрій Володимирович,Андрій,Володимирович,Парубій,Загальнодержавному багатомандатному округу,8,2014-11-27,2014-12-04,http://static.rada.gov.ua/dep_img8/nf4.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11584,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,11584
11584,Парубій Андрій Володимирович,Андрій,Володимирович,Парубій,Загальнодержавному багатомандатному округу,8,2014-12-05,,http://static.rada.gov.ua/dep_img8/nf4.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11584,Позафракційні,,,11584
