id,name,constituency,party,legislative_membership_type,term
angel_campos,Angel Campos,Corozal South West,United Democratic Party,,10
anthony_martinez,Anthony Martinez,Port Loyola,United Democratic Party,,10
beverly_williams,Beverly Williams,Belize Rural Central,United Democratic Party,,10
cordel_hyde,Cordel Hyde,Lake Independence,People's United Party,,10
dean_o._barrow,Dean O. Barrow,Queen's Square,United Democratic Party,,10
edmond_castro,Edmond Castro,Belize Rural North,United Democratic Party,,10
elodio_aragon_jr.,Elodio Aragon Jr.,Orange Walk East,United Democratic Party,,10
erwin_contreras,Erwin Contreras,Cayo West,United Democratic Party,,10
florencio_marin_jr.,Florencio Marin Jr.,Corozal South East,People's United Party,,10
francis_fonseca,Francis Fonseca,Freetown,People's United Party,,10
frank_mena,Frank Mena,Dangriga,United Democratic Party,,10
gaspar_vega,Gaspar Vega,Orange Walk North,United Democratic Party,,10
hugo_patt,Hugo Patt,Corozal North,United Democratic Party,,10
john_briceño,John Briceño,Orange Walk Central,People's United Party,,10
john_saldivar,John Saldivar,Belmopan,United Democratic Party,,10
jose_mai,Jose Mai,Orange Walk South,People's United Party,,10
jose_manuel_heredia_jr.,Jose Manuel Heredia Jr.,Belize Rural South,United Democratic Party,,10
julius_espat,Julius Espat,Cayo South,People's United Party,,10
kareem_musa,Kareem Musa,Caribbean Shores,People's United Party,,10
michael_finnegan,Michael Finnegan,Mesopotamia,United Democratic Party,,10
mike_espat,Mike Espat,Toledo East,People's United Party,,10
mrs._laura_tucker-longsworth,Mrs. Laura Tucker-Longsworth,"","",Speaker,10
omar_figueroa,Omar Figueroa,Cayo North,United Democratic Party,,10
orlando_habet,Orlando Habet,Cayo North East,People's United Party,,10
oscar_requena,Oscar Requena,Toledo West,People's United Party,,10
pablo_marin,Pablo Marin,Corozal Bay,United Democratic Party,,10
patrick_faber,Patrick Faber,Collet,United Democratic Party,,10
rene_montero,Rene Montero,Cayo Central,United Democratic Party,,10
rodwell_ferguson,Rodwell Ferguson,Stann Creek West,People's United Party,,10
said_musa,Said Musa,Fort George,People's United Party,,10
tracy_taegar-panton,Tracy Taegar-Panton,Albert,United Democratic Party,,10
wilfred_elrington,Wilfred Elrington,Pickstock,United Democratic Party,,10
