id,name,honorific_prefix,sort_name,party,area,gender,term
m._abiguime_petik-abalo,"ABIGUIME Petik-Abalo",M,"ABIGUIME Petik-Abalo",UNIR,BINAH,male,2013
m._abolu_yawo_afelete,"ABOLU Yawo Afelete",M,"ABOLU Yawo Afelete",UNIR,AVE,male,2013
m._adjor_akofi,"ADJOR Akofi",M,"ADJOR Akofi",ANC,AVE,male,2013
"m._afo_aledjou_mawé","AFO ALEDJOU Mawé",M,"AFO ALEDJOU Mawé",UNIR,TCHAMBA,male,2013
m._agbo_kokou,"AGBO Kokou",M,"AGBO Kokou",ARC-EN-CIEL,YOTO,male,2013
m._agbo_komlan,"AGBO KOMLAN",M,"AGBO KOMLAN",UNIR,EST-MONO,male,2013
m._alonou_kokou,"ALONOU Kokou",M,"ALONOU Kokou",UNIR,BLITTA,male,2013
m._ametodji_yawovi,"AMETODJI Yawovi",M,"AMETODJI Yawovi",UNIR,OGOU-ANIE,male,2013
m._amouzou_kodjovi,"AMOUZOU Kodjovi",M,"AMOUZOU Kodjovi",UNIR,HAHO,male,2013
m._apekey_assewouwokan,"APEKEY Assewouwokan",M,"APEKEY Assewouwokan",ANC,VO,male,2013
m._apevon_kokou_dodji,"APEVON Kokou Dodji",M,"APEVON Kokou Dodji",ARC-EN-CIEL,"GRAND LOME",male,2013
m._apezouke_jean-marie,"APEZOUKE Jean-Marie",M,"APEZOUKE Jean-Marie",UNIR,VO,male,2013
m._arzouma_natchadja,"ARZOUMA Natchadja",M,"ARZOUMA Natchadja",UNIR,KPENDJAL,male,2013
m._assouma_derman,"ASSOUMA Derman",M,"ASSOUMA Derman",UNIR,TCHAMBA,male,2013
m._atakpamey_kodjo,"ATAKPAMEY Kodjo",M,"ATAKPAMEY Kodjo",ANC,OGOU-ANIE,male,2013
"m._atchi_n’bouké_yao","ATCHI N’Bouké Yao",M,"ATCHI N’Bouké Yao",UNIR,MOYEN-MONO,male,2013
m._awate_simala,"AWATE Simala",M,"AWATE Simala",UNIR,EST-MONO,male,2013
"m._bankati_bolagbédé","BANKATI Bolagbédé",M,"BANKATI Bolagbédé",UNIR,OTI,male,2013
m._baritse_dametoti,"BARITSE Dametoti",M,"BARITSE Dametoti",UNIR,KPENDJAL,male,2013
m._beguem_nakodja,"BEGUEM Nakodja",M,"BEGUEM Nakodja",UNIR,DANKPEN,male,2013
m._boini_taaka,"BOINI Taaka",M,"BOINI Taaka",UNIR,KERAN,male,2013
"m._bouwassi_kédessa_datcha","BOUWASSI Kédessa Datcha",M,"BOUWASSI Kédessa Datcha",UNIR,KOZAH,male,2013
m._dobou_kwadzo_sedem,"DOBOU Kwadzo Sedem",M,"DOBOU Kwadzo Sedem",UNIR,AGOU,male,2013
m._doe-bruce_adama_koffi,"DOE-BRUCE Adama Koffi",M,"DOE-BRUCE Adama Koffi",ANC,"GRAND LOME",male,2013
m._dra_kossi_seveamenou,"DRA Kossi Seveamenou",M,"DRA Kossi Seveamenou",ANC,"GRAND LOME",male,2013
m._dramani_dama,"DRAMANI Dama",M,"DRAMANI Dama",UNIR,TCHAMBA,male,2013
m._ewovor_kossi_messan_w.,"EWOVOR Kossi Messan W.",M,"EWOVOR Kossi Messan W.",UNIR,DANYI,male,2013
m._fabre_jean-pierre,"FABRE Jean-Pierre",M,"FABRE Jean-Pierre",ANC,"GRAND LOME",male,2013
m._fofana_soffoh,"FOFANA Soffoh",M,"FOFANA Soffoh",ANC,ASSSOLI,male,2013
m._gagou_kokou,"GAGOU KOKOU",M,"GAGOU KOKOU",UNIR,"LACS-BAS MONO",male,2013
m._gnatcho_komla_mawuena,"GNATCHO Komla Mawuena",M,"GNATCHO Komla Mawuena",UNIR,AMOU,male,2013
m._gnongbo_tak_youssif,"GNONGBO Tak Youssif",M,"GNONGBO Tak Youssif",UNIR,ASSOLI,male,2013
m._gogue_tchaboure,"GOGUE Tchaboure",M,"GOGUE Tchaboure",ADDI,TANDJOUARE,male,2013
m._hodin_eke_kokou,"HODIN Eke Kokou",M,"HODIN Eke Kokou",UNIR,OGOU-ANIE,male,2013
m._howanou_edoh,"HOWANOU Edoh",M,"HOWANOU Edoh",UNIR,MOYEN-MONO,male,2013
m._jimongou_sambiani_kpandou,"JIMONGOU Sambiani Kpandou",M,"JIMONGOU Sambiani Kpandou",UFC,TONE-CINKASSE,male,2013
m._jondoh_comlavi_dzigbodi,"JONDOH Comlavi Dzigbodi",M,"JONDOH Comlavi Dzigbodi",ANC,"GRAND LOME",male,2013
m._kampatibe_nagbandja,"KAMPATIBE Nagbandja",M,"KAMPATIBE Nagbandja",ADDI,TONE-CINKASSE,male,2013
m._katagna_essodina,"KATAGNA Essodina",M,"KATAGNA Essodina",UNIR,BINAH,male,2013
m._katin_djagre,"KATIN Djagre",M,"KATIN Djagre",UNIR,BASSAR,male,2013
m._kertcho_komina,"KERTCHO Komina",M,"KERTCHO Komina",UNIR,WAWA-AKEBOU,male,2013
m._ketoglo_yao_victor,"KETOGLO Yao Victor",M,"KETOGLO Yao Victor",ANC,ZIO,male,2013
m._kissi_kofi_hotounou,"KISSI Kofi Hotounou",M,"KISSI Kofi Hotounou",ARC-EN-CIEL,VO,male,2013
m._koffi_kossiko_kalenyo,"KOFFI Kossiko Kalenyo",M,"KOFFI Kossiko Kalenyo",ARC-EN-CIEL,YOTO,male,2013
m._kpadenou_amoussouvi,"KPADENOU Amoussouvi",M,"KPADENOU Amoussouvi",ANC,"LACS-BAS MONO",male,2013
m._kpatcha_komi,"KPATCHA Komi",M,"KPATCHA Komi",UNIR,KOZAH,male,2013
m._kpogo_kodjo,"KPOGO Kodjo",M,"KPOGO Kodjo",ANC,"GRAND LOME",male,2013
m._kpohou_sim,"KPOHOU Sim",M,"KPOHOU Sim",UNIR,SOTOUBOUA,male,2013
m._labitoko_kadjila,"LABITOKO Kadjila",M,"LABITOKO Kadjila",UNIR,DOUFELGOU,male,2013
m._lawson-banku_boevi_patrick,"LAWSON-Banku Boevi Patrick",M,"LAWSON-Banku Boevi Patrick",ANC,"LACS-BAS MONO",male,2013
m._lawson_latevi_calvin_georges,"LAWSON Latevi Calvin Georges",M,"LAWSON Latevi Calvin Georges",ANC,"GRAND LOME",male,2013
m._malle_kayaba,"MALLE Kayaba",M,"MALLE Kayaba",UNIR,TONE-CINKASSE,male,2013
m._nassou_alouadjou_k.,"NASSOU Alouadjou K.",M,"NASSOU Alouadjou K.",UNIR,KERAN,male,2013
m._nayo_koffi_bessewu,"NAYO Koffi Bessewu",M,"NAYO Koffi Bessewu",UNIR,AMOU,male,2013
m._nonon_k._diera-bariga,"NONON K. Diera-Bariga",M,"NONON K. Diera-Bariga",UNIR,BLITTA,male,2013
m._ogblomesse_koku_m.,"OGBLOMESSE Koku M.",M,"OGBLOMESSE Koku M.",UNIR,DANYI,male,2013
m._ore_djimon,"ORE DJIMON",M,"ORE DJIMON",INDEPENDANT,EST-MONO,male,2013
m._osseyi_yawovi,"OSSEYI Yawovi",M,"OSSEYI Yawovi",UNIR,AMOU,male,2013
m._ouro-akpo_tchagnaou,"OURO-AKPO Tchagnaou",M,"OURO-AKPO Tchagnaou",ANC,TCHAOUDJO,male,2013
m._penn_lare_batouth,"PENN Lare Batouth",M,"PENN Lare Batouth",UNIR,OTI,male,2013
m._sambiani_yentema_a.,"SAMBIANI Yentema A.",M,"SAMBIANI Yentema A.",UNIR,KPENDJAL,male,2013
m._sego_etse_franck,"SEGO Etse Franck",M,"SEGO Etse Franck",UNIR,ZIO,male,2013
m._senou_komlan,"SENOU Komlan",M,"SENOU Komlan",ARC-EN-CIEL,YOTO,male,2013
m._sogoyou_bekeyi_e.,"SOGOYOU Bekeyi E.",M,"SOGOYOU Bekeyi E.",UNIR,TCHAOUDJO,male,2013
"m._targone_sambiri_n’wakin","TARGONE Sambiri N’wakin",M,"TARGONE Sambiri N’wakin",ANC,DANKPEN,male,2013
m._tchamon_abalea,"TCHAMON Abalea",M,"TCHAMON Abalea",UNIR,DOUFELGOU,male,2013
m._tchao_padumhekou,"TCHAO Padumhekou",M,"TCHAO Padumhekou",UNIR,SOTOUBOUA,male,2013
m._tchasse_awedeou,"TCHASSE Awedeou",M,"TCHASSE Awedeou",UNIR,SOTOUBOUA,male,2013
m._toussa_komi_gameli,"TOUSSA Komi Gameli",M,"TOUSSA Komi Gameli",UNIR,KLOTO-KPELE,male,2013
m._vodis_yawo,"VODIS Yawo",M,"VODIS Yawo",ANC,ZIO,male,2013
m._yakpo_kossi,"YAKPO Kossi",M,"YAKPO Kossi",UNIR,WAWA-AKEBOU,male,2013
m._yentoumi_kodjo_ikpaledou,"YENTOUMI Kodjo Ikpaledou",M,"YENTOUMI Kodjo Ikpaledou",UNIR,WAWA-AKEBOU,male,2013
m.bouraima-diabacte_k._hamadou_brim,"BOURAIMA-DIABACTE K. Hamadou Brim",M,"BOURAIMA-DIABACTE K. Hamadou Brim",UFC,OTI,male,2013
m.kossigan_kodjogan_m.,"KOSSIGAN Kodjogan M.",M,"KOSSIGAN Kodjogan M.",UNIR,HAHO,male,2013
"mme._adjamagbo_ayélo_okpé","ADJAMAGBO Ayélo Okpé",Mme,"ADJAMAGBO Ayélo Okpé",UNIR,OGOU-ANIE,female,2013
mme._agbokou_kossiwa_m._f.,"AGBOKOU Kossiwa M. F.",Mme,"AGBOKOU Kossiwa M. F.",ANC,"GRAND LOME",female,2013
mme_amedjogbe_akossiwa_olivia,"AMEDJOGBE Akossiwa Olivia",Mme,"AMEDJOGBE Akossiwa Olivia",UNIR,"GRAND LOME",female,2013
mme_ameganvi_m.isabelle_d.,"AMEGANVI M.Isabelle D.",Mme,"AMEGANVI M.Isabelle D.",ANC,KLOTO-KPELE,female,2013
mme_amenyo_afi_ntifa,"AMENYO Afi Ntifa",Mme,"AMENYO Afi Ntifa",UNIR,AGOU,female,2013
mme_amouzou_djake_kossiwa,"AMOUZOU DJAKE Kossiwa",Mme,"AMOUZOU DJAKE Kossiwa",UNIR,HAHO,female,2013
mme_arzouma_pomong_wuinekouma,"ARZOUMA Pomong Wuinekouma",Mme,"ARZOUMA Pomong Wuinekouma",UNIR,TONE-CINKASSE,female,2013
mme_dagban_ayawavi_djigbodi,"DAGBAN Ayawavi Djigbodi",Mme,"DAGBAN Ayawavi Djigbodi",UNIR,"GRAND LOME",female,2013
mme_djobo_nassara_epse_ouro_bangana,"DJOBO Nassara Epse OURO BANGANA",Mme,"DJOBO Nassara Epse OURO BANGANA",UNIR,TCHAOUDJO,female,2013
mme_gnakouafre_a._s._suhn-badu,"GNAKOUAFRE A. S. Suhn-Badu",Mme,"GNAKOUAFRE A. S. Suhn-Badu",UNIR,BLITTA,female,2013
mme_ibrahima_memounatou,"IBRAHIMA Memounatou",Mme,"IBRAHIMA Memounatou",UNIR,DANKPEN,female,2013
mme_kolani_yobate,"KOLANI Yobate",Mme,"KOLANI Yobate",UNIR,TANDJOUARE,female,2013
mme_koukpokpa_issolemo_epse_bagna,"KOUKPOKPA Issolemo Epse BAGNA",Mme,"KOUKPOKPA Issolemo Epse BAGNA","Indépendant SURSAUT NATIONAL",BASSAR,female,2013
mme_sewoa_adjoa_m._s.,"SEWOA Adjoa M. S.",Mme,"SEWOA Adjoa M. S.",UNIR,ZIO,female,2013
"mme_telou_mila_–_belle","TELOU Mila – Belle",Mme,"TELOU Mila – Belle",UNIR,KOZAH,female,2013
mme_tignokpa_ayawovi_d.,"TIGNOKPA Ayawovi D.",Mme,"TIGNOKPA Ayawovi D.",UNIR,BASSAR,female,2013
mme_tsegan_yawa_djigbodi,"TSEGAN Yawa Djigbodi",Mme,"TSEGAN Yawa Djigbodi",UNIR,KLOTO-KPELE,female,2013
