name,honorific_prefix,party,area,gender,term
ABIGUIME Petik-Abalo,M,UNIR,BINAH,male,2013
ABOLU Yawo Afelete,M,UNIR,AVE,male,2013
ADJAMAGBO Ayélo Okpé,Mme,UNIR,OGOU-ANIE,female,2013
ADJOR Akofi,M,ANC,AVE,male,2013
AFO ALEDJOU Mawé,M,UNIR,TCHAMBA,male,2013
AGBO Kokou,M,ARC-EN-CIEL,YOTO,male,2013
AGBO KOMLAN,M,UNIR,EST-MONO,male,2013
AGBOKOU Kossiwa M. F.,Mme,ANC,GRAND LOME,female,2013
ALONOU Kokou,M,UNIR,BLITTA,male,2013
AMEDJOGBE Akossiwa Olivia,Mme,UNIR,GRAND LOME,female,2013
AMEGANVI M.Isabelle D.,Mme,ANC,KLOTO-KPELE,female,2013
AMENYO Afi Ntifa,Mme,UNIR,AGOU,female,2013
AMETODJI Yawovi,M,UNIR,OGOU-ANIE,male,2013
AMOUZOU DJAKE Kossiwa,Mme,UNIR,HAHO,female,2013
AMOUZOU Kodjovi,M,UNIR,HAHO,male,2013
APEKEY Assewouwokan,M,ANC,VO,male,2013
APEVON Kokou Dodji,M,ARC-EN-CIEL,GRAND LOME,male,2013
APEZOUKE Jean-Marie,M,UNIR,VO,male,2013
ARZOUMA Natchadja,M,UNIR,KPENDJAL,male,2013
ARZOUMA Pomong Wuinekouma,Mme,UNIR,TONE-CINKASSE,female,2013
ASSOUMA Derman,M,UNIR,TCHAMBA,male,2013
ATAKPAMEY Kodjo,M,ANC,OGOU-ANIE,male,2013
ATCHI N’Bouké Yao,M,UNIR,MOYEN-MONO,male,2013
AWATE Simala,M,UNIR,EST-MONO,male,2013
BANKATI Bolagbédé,M,UNIR,OTI,male,2013
BARITSE Dametoti,M,UNIR,KPENDJAL,male,2013
BEGUEM Nakodja,M,UNIR,DANKPEN,male,2013
BOINI Taaka,M,UNIR,KERAN,male,2013
BOURAIMA-DIABACTE K. Hamadou Brim,M,UFC,OTI,male,2013
BOUWASSI Kédessa Datcha,M,UNIR,KOZAH,male,2013
DAGBAN Ayawavi Djigbodi,Mme,UNIR,GRAND LOME,female,2013
DJOBO Nassara Epse OURO BANGANA,Mme,UNIR,TCHAOUDJO,female,2013
DOBOU Kwadzo Sedem,M,UNIR,AGOU,male,2013
DOE-BRUCE Adama Koffi,M,ANC,GRAND LOME,male,2013
DRA Kossi Seveamenou,M,ANC,GRAND LOME,male,2013
DRAMANI Dama,M,UNIR,TCHAMBA,male,2013
