name,wikiname,party,area,term,id
"
Akierra Missick
",Akierra Missick,PNP,Leeward (Providenciales),2016,"
akierra_missick
"
"
Derek Hugh Taylor
",Derek Hugh Taylor,PDM,All Island District,2016,"
derek_hugh_taylor
"
"
Douglas Parnell
","",PDM,Cheshire Hall and Richmond Hill (Providenciales),2016,"
douglas_parnell
"
"
Edwin Astwood
","",PDM,Grand Turk South and Saltcay,2016,"
edwin_astwood
"
"
George Lightbourne
","",PNP,Grand Turk North,2016,"
george_lightbourne
"
"
Josephine Connolly
",Josephine Connolly,PDM,All Island District,2016,"
josephine_connolly
"
"
Karen Evadne Malcolm
","",PDM,All Island District,2016,"
karen_evadne_malcolm
"
"
Mixmillian Goldray Ewing
","",PDM,Blue Hills (Providenciales),2016,"
mixmillian_goldray_ewing
"
"
Porsha Stubbs-Smith
",Porsha Stubbs-Smith,PNP,The Bight (Providenciales),2016,"
porsha_stubbs-smith
"
"
Ralph Higgs
","",PDM,Middle and North Caicos,2016,"
ralph_higgs
"
"
Ruth Blackman
","",PNP,South Caicos,2016,"
ruth_blackman
"
"
Sean Rickard Astwood
","",PDM,Five Cays (Providenciales),2016,"
sean_rickard_astwood
"
"
Sharlene Cartwright-Robinson
",Sharlene Cartwright-Robinson,PDM,All Island District,2016,"
sharlene_cartwright-robinson
"
"
Vaden Delroy Williams
","",PDM,Wheeland (Providenciales),2016,"
vaden_delroy_williams
"
"
Washington Misick
",Washington Misick,PNP,All Island District,2016,"
washington_misick
"
