name,area,image,term,source,id
Akierra Mary Deanne Missick,Leeward,https://lh5.googleusercontent.com/-j8C1vgFGa-Q/VE_todgs8gI/AAAAAAAAAOo/hDlNlutEmSQ/w721-h577-no/hon-akierra-missick.png,2012,https://www.gov.tc/index.php/government/house-of-assembly,akierra_mary_deanne_missick
Amanda Missick,Cheshire Hall and Richmond Hill,https://lh3.googleusercontent.com/-25MXEVeNxU0/VE_too2B1JI/AAAAAAAAAOY/VKD4gUOR-Vs/w721-h577-no/hon-amanda-misick.JPG,2012,https://www.gov.tc/hon-amanda-misick/,amanda_missick
Charles Washington Misick,All Island District,https://lh5.googleusercontent.com/-2_WkSa0gBxQ/VE_tt2Y2GNI/AAAAAAAAAQk/vmjFDo-2NMU/w721-h577-no/hon-washington-misick.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,charles_washington_misick
Clarence Selver,Opposition’s Appointed Member,https://lh5.googleusercontent.com/-FTfwjasxQx4/VE_torLlvLI/AAAAAAAAAOk/LgELricFmbE/w721-h577-no/hon-clarence-selver.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,clarence_selver
Derek Taylor,All Island District,https://lh5.googleusercontent.com/-yP39HgAAXYg/VE_tp_TosjI/AAAAAAAAAQU/XF0qxoQLmx4/w721-h577-no/hon-derek-taylor.png,2012,https://www.gov.tc/index.php/government/house-of-assembly,derek_taylor
Douglas Parnell,Cheshire Hall and Richmond Hills,https://scontent-dft4-1.xx.fbcdn.net/v/t1.0-9/15073475_790634994372650_1887920618569348635_n.png?oh=7e8866840283f134d16f94ec15239695&oe=58E4FA36,2012,https://www.gov.tc/index.php/government/house-of-assembly#,douglas_parnell
Dr. Rufus Washington Ewing,All Island District,https://lh6.googleusercontent.com/--SCaVgExEkA/VE_tnGEk6bI/AAAAAAAAAN4/eJTSCXVfF_g/w721-h577-no/dr-rufus-ewing.JPG,2012,https://www.gov.tc/hon-dr-rufus-washington-ewing/,dr._rufus_washington_ewing
Edwin Astwood,Grand Turk South and Salt Cay,https://scontent-dft4-1.xx.fbcdn.net/v/t1.0-9/10959906_793737590674363_5784485864049307783_n.jpg?oh=57a85705759860b6d0f655a00bdb9536&oe=58F83BE7,2012,https://www.gov.tc/index.php/government/house-of-assembly#,edwin_astwood
George Alexander Lightbourne,Grand Turk North,https://lh4.googleusercontent.com/-mH5dgfvpBSQ/VE_tpwDjnnI/AAAAAAAAAO8/HDTcLcdIiH0/w721-h577-no/hon-george-lightbourne.JPG,2012,https://www.gov.tc/index.php/government/house-of-assembly,george_alexander_lightbourne
Goldray McMillin Ewing,Blue Hills,https://lh4.googleusercontent.com/IA9vUNEdwPtI0xwgibrG6rdWNtit3T7Y1OXcE5s8jBU=w721-h577-no,2012,https://www.gov.tc/index.php/government/house-of-assembly#,goldray_mcmillin_ewing
Hon. Ralph Higgs,Middle and North Caicos,https://scontent-dft4-1.xx.fbcdn.net/v/t1.0-9/15590534_222364638207101_6934125961288398515_n.jpg?oh=773872f1b873e80e507a35c8b7c18208&oe=58DE0F04,2012,https://www.gov.tc/index.php/government/house-of-assembly#,hon._ralph_higgs
Hugh Derek Taylor,All Island District,https://lh5.googleusercontent.com/-yP39HgAAXYg/VE_tp_TosjI/AAAAAAAAAQU/XF0qxoQLmx4/w721-h577-no/hon-derek-taylor.png,2012,https://www.gov.tc/index.php/government/house-of-assembly#,hugh_derek_taylor
