id,name,image,partylist,faction,faction_id,area,gender,term,source
261,Ibrahim Ben Said,http://majles.marsad.tn/2014/uploads/images/Ibrahim_Ben%20Said.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Kebili,male,1,http://majles.marsad.tn/2014/fr/assemblee
263,Imed Daimi,http://majles.marsad.tn/2014/uploads/images/Imed_Daimi.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Medenine,male,1,http://majles.marsad.tn/2014/fr/assemblee
264,Sabri Dekhil,http://majles.marsad.tn/2014/uploads/images/Sabri_Dekhil.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Gabès,male,1,http://majles.marsad.tn/2014/fr/assemblee
285,Mohamed El Hamdi,http://majles.marsad.tn/2014/uploads/images/Mohamed_El%20Hamdi.png,Courant de l'amour,Aucun bloc,Aucun_bloc,Sidi Bouzid,male,1,http://majles.marsad.tn/2014/fr/assemblee
260,Kamel Harraghi,http://majles.marsad.tn/2014/uploads/images/Kamel%20Harraghi.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Le Kef,male,1,http://majles.marsad.tn/2014/fr/assemblee
262,Mabrouk Hrizi,http://majles.marsad.tn/2014/uploads/images/Mabrouk_Hrizi.png,Congrès Pour la République,Aucun bloc,Aucun_bloc,Kasserine,male,1,http://majles.marsad.tn/2014/fr/assemblee
259,Noureddine Mrabti,http://majles.marsad.tn/2014/uploads/images/Noureddine_Mrabti.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Siliana,male,1,http://majles.marsad.tn/2014/fr/assemblee
286,Rim Thairi,http://majles.marsad.tn/2014/uploads/images/Rim_Thairi.png,Courant de l'amour,Aucun bloc,Aucun_bloc,Kairouan,female,1,http://majles.marsad.tn/2014/fr/assemblee
212,Samia Abbou,http://majles.marsad.tn/2014/uploads/images/abbou%20samia.png,Courant Démocratique,Aucun bloc,Aucun_bloc,Tunis 1,female,1,http://majles.marsad.tn/2014/fr/assemblee
12,Badreddine Abdelkefi,http://majles.marsad.tn/2014/uploads/images/Badreddine_Abdelkefi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
180,Abir Abdelli,http://majles.marsad.tn/2014/uploads/images/Abir_Abdelli.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sidi Bouzid,female,1,http://majles.marsad.tn/2014/fr/assemblee
29,Asma Abou Hana,http://majles.marsad.tn/2014/uploads/images/Asma_Bou%20Hana.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Gafsa,female,1,http://majles.marsad.tn/2014/fr/assemblee
161,Mohamed Anouar Adhar,http://majles.marsad.tn/2014/uploads/images/adhar%20mohamed%20anouar.png,Afek Tounes,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",Afek_Tounes_le_mouvement_national_et_lappel_des_tunisiens_à_létranger,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
105,Oussama Al Saghir,http://majles.marsad.tn/2014/uploads/images/Oussama_Al%20Saghir.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Italie,male,1,http://majles.marsad.tn/2014/fr/assemblee
18,Lotfi Ali,http://majles.marsad.tn/2014/uploads/images/ali%20lotfi.png,Parti l'initiative,Bloc Social-Démocrate,Bloc_Social-Démocrate,Gafsa,male,1,http://majles.marsad.tn/2014/fr/assemblee
43,Aymen Aloui,http://majles.marsad.tn/2014/uploads/images/aloui%20aymen.png,Front Populaire,Front Populaire,Front_Populaire,Kasserine,male,1,http://majles.marsad.tn/2014/fr/assemblee
99,Souhail Alouini,http://majles.marsad.tn/2014/uploads/images/Souhail_Alouini.png,Mouvement Nidaa Tounes,Bloc Al Horra,Bloc_Al_Horra,Kairouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
