id,name,image,partylist,faction,faction_id,area,gender,term,source
10,Ibtissem Jebabli,http://majles.marsad.tn/2014/uploads/images/Ibtissem_Jebabli.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Tunis 1,female,1,http://majles.marsad.tn/2014/fr/elus/Ibtissem_Jebabli
100,Belgacem Dkhili,http://majles.marsad.tn/2014/uploads/images/Belgacem_Dkhili.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Jendouba,male,1,http://majles.marsad.tn/2014/fr/elus/Belgacem_Dkhili
101,Jihen Aouichi,http://majles.marsad.tn/2014/uploads/images/Jihen_Aouichi.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Jendouba,female,1,http://majles.marsad.tn/2014/fr/elus/Jihen_Aouichi
102,Hatem Ferjani,http://majles.marsad.tn/2014/uploads/images/hatem%20ferjani.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Allemagne,male,1,http://majles.marsad.tn/2014/fr/elus/Hatem_Ferjani
103,Houssem Bounenni,http://majles.marsad.tn/2014/uploads/images/Houssem_Bounenni.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 1,male,1,http://majles.marsad.tn/2014/fr/elus/Houssem_Bounenni
104,Hssan Amri,http://majles.marsad.tn/2014/uploads/images/Hssan_Amri.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Ariana,male,1,http://majles.marsad.tn/2014/fr/elus/Hssan_Amri
105,Khemais Ksila,http://majles.marsad.tn/2014/uploads/images/Khemais_Ksila.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Nabeul 2,male,1,http://majles.marsad.tn/2014/fr/elus/Khemais_Ksila
106,Ridha Charfeddine,http://majles.marsad.tn/2014/uploads/images/Ridha_Charfeddine.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sousse,male,1,http://majles.marsad.tn/2014/fr/elus/Ridha_Charfeddine
107,Mohamed  Abdellaoui,http://majles.marsad.tn/2014/uploads/images/abdellaoui%20mohamed.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sidi Bouzid,male,1,http://majles.marsad.tn/2014/fr/elus/Mohamed_Abdellaoui
108,Hassouna Nasfi,http://majles.marsad.tn/2014/uploads/images/hassouna.png,Mouvement Nidaa Tounes,Bloc Al Horra du Mouvement Machrouu Tounes,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Gabès,male,1,http://majles.marsad.tn/2014/fr/elus/Hassouna_Nasfi
109,Khawla Ben Aicha,http://majles.marsad.tn/2014/uploads/images/Khaoula_Ben%20Aicha.png,Mouvement Nidaa Tounes,Bloc Al Horra du Mouvement Machrouu Tounes,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,France 1,female,1,http://majles.marsad.tn/2014/fr/elus/Khaoula_Ben_Aicha
11,Ibtihej Ben Helal,http://majles.marsad.tn/2014/uploads/images/Ibtihej_Ben%20Helal.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Bizerte,female,1,http://majles.marsad.tn/2014/fr/elus/Ibtihej_Ben_Helal
110,Rabha Ben Hassine,http://majles.marsad.tn/2014/uploads/images/Rabha%20Ben%20Hassine.png,Mouvement Nidaa Tounes,Bloc Al Horra du Mouvement Machrouu Tounes,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mahdia,female,1,http://majles.marsad.tn/2014/fr/elus/Rabha_Ben_Hassine
111,Tarek Barrak,http://majles.marsad.tn/2014/uploads/images/Tarek_Barrak.png,Front Populaire,Front Populaire,Front_Populaire,Kairouan,male,1,http://majles.marsad.tn/2014/fr/elus/Tarek_Barrak
112,Abdelmoumen Belanes,http://majles.marsad.tn/2014/uploads/images/belanes%20abdelmoumen.png,Front Populaire,Front Populaire,Front_Populaire,Monastir,male,1,http://majles.marsad.tn/2014/fr/elus/Abdelmoumen_Belanes
113,Ammar Amroussia,http://majles.marsad.tn/2014/uploads/images/amroussia%20ammar.png,Front Populaire,Front Populaire,Front_Populaire,Gafsa,male,1,http://majles.marsad.tn/2014/fr/elus/Ammar_Amroussia
114,Dorra Yaacoubi,http://majles.marsad.tn/2014/uploads/images/yaacoubi%20dorra.png,Union Patriotique Libre,Union Patriotique Libre,Union_Patriotique_Libre,Jendouba,female,1,http://majles.marsad.tn/2014/fr/elus/Dorra_Yaacoubi
